日期,时间,发电类型,发电出力值,负荷率,受阻率,厂用率
20231028,15:30,光伏,1063.2375,0.0,0.0,0.8523
20231028,15:30,火电燃煤,11417.4727,0.0,0.0,10.0141
20231028,15:30,水电有功,460.5616,0.0,0.0,1.0456
20231028,15:30,发电有功,15180.0322,0.0,0.0,0.0
20231028,15:30,风电,878.1815,0.0,0.0,6.0089
20231028,15:30,火电生物质,1195.7607,0.0,0.0,0.0
20231028,15:45,风电,908.1126,0.0,0.0,5.1185
20231028,15:45,发电有功,15237.2871,0.0,0.0,0.0
20231028,15:45,火电生物质,1207.2881,0.0,0.0,0.0
20231028,15:45,光伏,696.3683,0.0,0.0,1.2949
20231028,15:45,水电有功,459.2609,0.0,0.0,0.75
20231028,15:45,火电燃煤,11787.7207,0.0,0.0,9.8735
20231028,16:00,水电有功,459.903,0.0,0.0,1.0041
20231028,16:00,火电燃煤,12203.3711,0.0,0.0,9.7262
20231028,16:00,发电有功,15364.4844,0.0,0.0,0.0
20231028,16:00,风电,996.0299,0.0,0.0,5.0989
20231028,16:00,火电生物质,1198.0421,0.0,0.0,0.0
20231028,16:00,光伏,320.6456,0.0,0.0,2.1035
20231028,16:15,火电生物质,1207.6936,0.0,0.0,0.0
20231028,16:15,发电有功,15338.1211,0.0,0.0,0.0
20231028,16:15,火电燃煤,12287.1416,0.0,0.0,9.6317
20231028,16:15,光伏,94.8379,0.0,0.0,6.1523
20231028,16:15,水电有功,463.6022,0.0,0.0,1.9263
20231028,16:15,风电,1075.9265,0.0,0.0,4.855
20231028,16:30,光伏,12.571,0.0,0.0,0.0
20231028,16:30,火电生物质,1220.0701,0.0,0.0,0.0
20231028,16:30,发电有功,15234.125,0.0,0.0,0.0
20231028,16:30,火电燃煤,12218.0049,0.0,0.0,9.6512
20231028,16:30,风电,1222.3649,0.0,0.0,5.2008
20231028,16:30,水电有功,358.3856,0.0,0.0,1.5019
20231028,16:45,发电有功,15253.7031,0.0,0.0,0.0
20231028,16:45,火电燃煤,12081.8115,0.0,0.0,9.7415
20231028,16:45,风电,1408.6431,0.0,0.0,4.6178
20231028,16:45,水电有功,357.4554,0.0,0.0,1.4138
20231028,16:45,光伏,4.8403,0.0,0.0,0.0
20231028,16:45,火电生物质,1211.1537,0.0,0.0,0.0
20231028,17:00,光伏,0.753,0.0,0.0,0.0
20231028,17:00,火电燃煤,12052.3281,0.0,0.0,9.7341
20231028,17:00,发电有功,15377.9717,0.0,0.0,0.0
20231028,17:00,风电,1608.2603,0.0,0.0,3.9183
20231028,17:00,火电生物质,1221.8384,0.0,0.0,0.0
20231028,17:00,水电有功,318.6767,0.0,0.0,2.488
20231028,17:15,发电有功,15572.1494,0.0,0.0,0.0
20231028,17:15,光伏,3.47,0.0,0.0,0.0
20231028,17:15,火电燃煤,12039.2813,0.0,0.0,9.7549
20231028,17:15,火电生物质,1231.5327,0.0,0.0,0.0
20231028,17:15,风电,1803.8154,0.0,0.0,3.5107
20231028,17:15,水电有功,320.9788,0.0,0.0,1.5678
20231028,17:30,火电燃煤,11795.0479,0.0,0.0,9.8815
20231028,17:30,火电生物质,1249.3098,0.0,0.0,0.0
20231028,17:30,风电,2013.5571,0.0,0.0,2.9853
20231028,17:30,水电有功,319.333,0.0,0.0,2.1626
20231028,17:30,发电有功,15544.6387,0.0,0.0,0.0
20231028,17:30,光伏,1.3291,0.0,0.0,0.0
20231028,17:45,风电,2177.3086,0.0,0.0,2.9837
20231028,17:45,火电生物质,1255.4863,0.0,0.0,0.0
20231028,17:45,水电有功,316.3463,0.0,0.0,1.7175
20231028,17:45,光伏,0.0,0.0,0.0,0.0
20231028,17:45,火电燃煤,11676.166,0.0,0.0,9.8034
20231028,17:45,发电有功,15608.501,0.0,0.0,0.0
20231028,18:00,火电生物质,1244.6304,0.0,0.0,0.0
20231028,18:00,水电有功,302.3535,0.0,0.0,1.2246
20231028,18:00,光伏,0.0,0.0,0.0,0.0
20231028,18:00,火电燃煤,11172.9023,0.0,0.0,10.1413
20231028,18:00,发电有功,15280.8301,0.0,0.0,0.0
20231028,18:00,风电,2376.3496,0.0,0.0,2.8682
20231028,18:15,风电,2563.1924,0.0,0.0,2.6262
20231028,18:15,火电生物质,1234.0221,0.0,0.0,0.0
20231028,18:15,光伏,0.0,0.0,0.0,0.0
20231028,18:15,发电有功,15202.415,0.0,0.0,0.0
20231028,18:15,火电燃煤,10911.6094,0.0,0.0,10.1437
20231028,18:15,水电有功,302.8948,0.0,0.0,3.1611
20231028,18:30,火电燃煤,10628.6367,0.0,0.0,10.261
20231028,18:30,水电有功,303.5452,0.0,0.0,2.7665
20231028,18:30,火电生物质,1262.238,0.0,0.0,0.0
20231028,18:30,风电,2745.0261,0.0,0.0,2.6218
20231028,18:30,发电有功,15123.0332,0.0,0.0,0.0
20231028,18:30,光伏,0.0,0.0,0.0,0.0
20231028,18:45,风电,2880.6431,0.0,0.0,2.4058
20231028,18:45,光伏,0.0,0.0,0.0,0.0
20231028,18:45,火电燃煤,10211.7139,0.0,0.0,10.5026
20231028,18:45,发电有功,14748.1104,0.0,0.0,0.0
20231028,18:45,水电有功,214.1533,0.0,0.0,1.403
20231028,18:45,火电生物质,1249.6135,0.0,0.0,0.0
20231028,19:00,光伏,0.0,0.0,0.0,0.0
20231028,19:00,风电,2865.429,0.0,0.0,2.4725
20231028,19:00,火电燃煤,9473.2363,0.0,0.0,10.8505
20231028,19:00,火电生物质,1258.825,0.0,0.0,0.0
20231028,19:00,水电有功,214.5073,0.0,0.0,1.1779
20231028,19:00,发电有功,14015.5205,0.0,0.0,0.0
20231028,19:15,风电,3021.6343,0.0,0.0,2.4591
20231028,19:15,光伏,0.0,0.0,0.0,0.0
20231028,19:15,火电生物质,1250.3904,0.0,0.0,0.0
20231028,19:15,发电有功,13910.9268,0.0,0.0,0.0
20231028,19:15,火电燃煤,9229.2432,0.0,0.0,11.0971
20231028,19:15,水电有功,214.8837,0.0,0.0,1.4504
20231028,19:30,光伏,0.0,0.0,0.0,0.0
20231028,19:30,风电,3070.0859,0.0,0.0,2.4245
20231028,19:30,水电有功,214.8067,0.0,0.0,1.329
