日期,时间,发电类型,发电出力值,负荷率,受阻率,厂用率,日期时间
20231028,15:30,风电,878.1815,0.0,0.0,6.0089,2023-10-28 15:30:00
20231028,15:45,风电,908.1126,0.0,0.0,5.1185,2023-10-28 15:45:00
20231028,16:00,风电,996.0299,0.0,0.0,5.0989,2023-10-28 16:00:00
20231028,16:15,风电,1075.9265,0.0,0.0,4.855,2023-10-28 16:15:00
20231028,16:30,风电,1222.3649,0.0,0.0,5.2008,2023-10-28 16:30:00
20231028,16:45,风电,1408.6431,0.0,0.0,4.6178,2023-10-28 16:45:00
20231028,17:00,风电,1608.2603,0.0,0.0,3.9183,2023-10-28 17:00:00
20231028,17:15,风电,1803.8154,0.0,0.0,3.5107,2023-10-28 17:15:00
20231028,17:30,风电,2013.5571,0.0,0.0,2.9853,2023-10-28 17:30:00
20231028,17:45,风电,2177.3086,0.0,0.0,2.9837,2023-10-28 17:45:00
20231028,18:00,风电,2376.3496,0.0,0.0,2.8682,2023-10-28 18:00:00
20231028,18:15,风电,2563.1924,0.0,0.0,2.6262,2023-10-28 18:15:00
20231028,18:30,风电,2745.0261,0.0,0.0,2.6218,2023-10-28 18:30:00
20231028,18:45,风电,2880.6431,0.0,0.0,2.4058,2023-10-28 18:45:00
20231028,19:00,风电,2865.429,0.0,0.0,2.4725,2023-10-28 19:00:00
20231028,19:15,风电,3021.6343,0.0,0.0,2.4591,2023-10-28 19:15:00
20231028,19:30,风电,3070.0859,0.0,0.0,2.4245,2023-10-28 19:30:00
20231028,19:45,风电,3172.5718,0.0,0.0,2.2077,2023-10-28 19:45:00
20231028,20:00,风电,3250.5408,0.0,0.0,1.9534,2023-10-28 20:00:00
20231028,20:15,风电,3292.7859,0.0,0.0,2.0859,2023-10-28 20:15:00
20231028,20:30,风电,3266.8323,0.0,0.0,1.6567,2023-10-28 20:30:00
20231028,20:45,风电,3259.8818,0.0,0.0,1.8995,2023-10-28 20:45:00
20231028,21:00,风电,3285.2852,0.0,0.0,1.819,2023-10-28 21:00:00
20231028,21:15,风电,3303.5129,0.0,0.0,1.5596,2023-10-28 21:15:00
20231028,21:30,风电,3352.7227,0.0,0.0,1.5943,2023-10-28 21:30:00
20231028,21:45,风电,3385.2993,0.0,0.0,1.5632,2023-10-28 21:45:00
20231028,22:00,风电,3396.5093,0.0,0.0,1.5895,2023-10-28 22:00:00
20231028,22:15,风电,3409.3237,0.0,0.0,1.6048,2023-10-28 22:15:00
20231028,22:30,风电,3435.946,0.0,0.0,1.678,2023-10-28 22:30:00
20231028,22:45,风电,3439.4507,0.0,0.0,1.5615,2023-10-28 22:45:00
20231028,23:00,风电,3478.0403,0.0,0.0,1.6553,2023-10-28 23:00:00
20231028,23:15,风电,3515.3733,0.0,0.0,1.5938,2023-10-28 23:15:00
20231029,00:00,风电,3587.4766,0.0,0.0,1.3719,2023-10-29 00:00:00
20231029,00:15,风电,3632.8032,0.0,0.0,1.4072,2023-10-29 00:15:00
20231029,00:30,风电,3664.9363,0.0,0.0,1.3369,2023-10-29 00:30:00
20231029,00:45,风电,3717.114,0.0,0.0,1.2793,2023-10-29 00:45:00
20231029,01:00,风电,3763.8252,0.0,0.0,1.311,2023-10-29 01:00:00
20231029,01:15,风电,3788.2285,0.0,0.0,1.1476,2023-10-29 01:15:00
20231029,01:30,风电,3821.6589,0.0,0.0,1.1893,2023-10-29 01:30:00
20231029,01:45,风电,3853.0237,0.0,0.0,1.3261,2023-10-29 01:45:00
20231029,02:00,风电,3866.4521,0.0,0.0,1.3939,2023-10-29 02:00:00
20231029,02:15,风电,3854.1394,0.0,0.0,1.353,2023-10-29 02:15:00
20231029,02:30,风电,3848.9204,0.0,0.0,1.2029,2023-10-29 02:30:00
20231029,02:45,风电,3829.104,0.0,0.0,1.2857,2023-10-29 02:45:00
20231029,03:00,风电,3833.9082,0.0,0.0,1.2459,2023-10-29 03:00:00
20231029,03:15,风电,3834.9802,0.0,0.0,1.2133,2023-10-29 03:15:00
20231029,03:30,风电,3778.0024,0.0,0.0,1.0717,2023-10-29 03:30:00
20231029,03:45,风电,3740.3091,0.0,0.0,1.1289,2023-10-29 03:45:00
20231029,04:00,风电,3722.1101,0.0,0.0,1.1881,2023-10-29 04:00:00
20231029,04:15,风电,3697.427,0.0,0.0,0.9577,2023-10-29 04:15:00
20231029,04:30,风电,3682.7725,0.0,0.0,1.3017,2023-10-29 04:30:00
20231029,04:45,风电,3675.8101,0.0,0.0,1.2222,2023-10-29 04:45:00
20231029,05:00,风电,3665.5444,0.0,0.0,0.9182,2023-10-29 05:00:00
20231029,05:15,风电,3659.1262,0.0,0.0,0.662,2023-10-29 05:15:00
20231029,05:30,风电,3634.2905,0.0,0.0,0.7674,2023-10-29 05:30:00
20231029,05:45,风电,3612.8635,0.0,0.0,0.5198,2023-10-29 05:45:00
20231029,06:00,风电,3625.5854,0.0,0.0,0.4597,2023-10-29 06:00:00
20231029,06:15,风电,3623.29,0.0,0.0,0.301,2023-10-29 06:15:00
20231029,06:30,风电,3584.0439,0.0,0.0,0.138,2023-10-29 06:30:00
20231029,06:45,风电,3540.9043,0.0,0.0,0.0441,2023-10-29 06:45:00
20231029,07:00,风电,3485.8228,0.0,0.0,-0.212,2023-10-29 07:00:00
20231029,07:15,风电,3418.311,0.0,0.0,-0.5134,2023-10-29 07:15:00
20231029,07:30,风电,3296.6084,0.0,0.0,-0.5631,2023-10-29 07:30:00
20231029,07:45,风电,3119.8784,0.0,0.0,-0.537,2023-10-29 07:45:00
20231029,08:00,风电,2953.1499,0.0,0.0,-0.2839,2023-10-29 08:00:00
20231029,08:15,风电,2751.2297,0.0,0.0,-0.2163,2023-10-29 08:15:00
20231029,08:30,风电,2487.1382,0.0,0.0,-0.0754,2023-10-29 08:30:00
20231029,08:45,风电,2221.5195,0.0,0.0,0.0045,2023-10-29 08:45:00
20231029,09:00,风电,1938.6687,0.0,0.0,0.2803,2023-10-29 09:00:00
20231029,09:15,风电,1694.6456,0.0,0.0,0.3801,2023-10-29 09:15:00
20231029,09:30,风电,1521.2545,0.0,0.0,-0.5598,2023-10-29 09:30:00
20231029,09:45,风电,1501.7596,0.0,0.0,-0.7788,2023-10-29 09:45:00
20231029,10:00,风电,1504.2496,0.0,0.0,-0.6074,2023-10-29 10:00:00
20231029,10:15,风电,1487.793,0.0,0.0,-1.0436,2023-10-29 10:15:00
20231029,10:30,风电,1497.0745,0.0,0.0,-1.1646,2023-10-29 10:30:00
20231029,10:45,风电,1522.5129,0.0,0.0,-1.2793,2023-10-29 10:45:00
20231029,11:00,风电,1533.4174,0.0,0.0,-0.6153,2023-10-29 11:00:00
20231029,11:15,风电,1537.9207,0.0,0.0,-0.4636,2023-10-29 11:15:00
20231029,11:30,风电,1536.1879,0.0,0.0,-0.5247,2023-10-29 11:30:00
20231029,11:45,风电,1588.5658,0.0,0.0,-1.1549,2023-10-29 11:45:00
20231029,12:00,风电,1623.37,0.0,0.0,-0.244,2023-10-29 12:00:00
20231029,12:15,风电,1705.2421,0.0,0.0,0.1616,2023-10-29 12:15:00
20231029,12:30,风电,1775.6276,0.0,0.0,0.1958,2023-10-29 12:30:00
20231029,12:45,风电,1824.5527,0.0,0.0,0.0659,2023-10-29 12:45:00
20231029,13:00,风电,1925.4324,0.0,0.0,-0.3288,2023-10-29 13:00:00
20231029,13:15,风电,1940.6729,0.0,0.0,-0.0318,2023-10-29 13:15:00
20231029,13:30,风电,2016.4525,0.0,0.0,-0.0154,2023-10-29 13:30:00
20231029,13:45,风电,2040.9805,0.0,0.0,-0.1067,2023-10-29 13:45:00
20231029,14:00,风电,2102.4893,0.0,0.0,0.3123,2023-10-29 14:00:00
20231029,14:15,风电,2090.9766,0.0,0.0,-0.1051,2023-10-29 14:15:00
