日期,时间,发电类型,发电出力值,负荷率,受阻率,厂用率,日期时间
20231028,15:30,发电有功,15180.0322,0.0,0.0,0.0,2023-10-28 15:30:00
20231028,15:45,发电有功,15237.2871,0.0,0.0,0.0,2023-10-28 15:45:00
20231028,16:00,发电有功,15364.4844,0.0,0.0,0.0,2023-10-28 16:00:00
20231028,16:15,发电有功,15338.1211,0.0,0.0,0.0,2023-10-28 16:15:00
20231028,16:30,发电有功,15234.125,0.0,0.0,0.0,2023-10-28 16:30:00
20231028,16:45,发电有功,15253.7031,0.0,0.0,0.0,2023-10-28 16:45:00
20231028,17:00,发电有功,15377.9717,0.0,0.0,0.0,2023-10-28 17:00:00
20231028,17:15,发电有功,15572.1494,0.0,0.0,0.0,2023-10-28 17:15:00
20231028,17:30,发电有功,15544.6387,0.0,0.0,0.0,2023-10-28 17:30:00
20231028,17:45,发电有功,15608.501,0.0,0.0,0.0,2023-10-28 17:45:00
20231028,18:00,发电有功,15280.8301,0.0,0.0,0.0,2023-10-28 18:00:00
20231028,18:15,发电有功,15202.415,0.0,0.0,0.0,2023-10-28 18:15:00
20231028,18:30,发电有功,15123.0332,0.0,0.0,0.0,2023-10-28 18:30:00
20231028,18:45,发电有功,14748.1104,0.0,0.0,0.0,2023-10-28 18:45:00
20231028,19:00,发电有功,14015.5205,0.0,0.0,0.0,2023-10-28 19:00:00
20231028,19:15,发电有功,13910.9268,0.0,0.0,0.0,2023-10-28 19:15:00
20231028,19:30,发电有功,13860.9492,0.0,0.0,0.0,2023-10-28 19:30:00
20231028,19:45,发电有功,13814.125,0.0,0.0,0.0,2023-10-28 19:45:00
20231028,20:00,发电有功,13743.4648,0.0,0.0,0.0,2023-10-28 20:00:00
20231028,20:15,发电有功,13707.54,0.0,0.0,0.0,2023-10-28 20:15:00
20231028,20:30,发电有功,13797.1807,0.0,0.0,0.0,2023-10-28 20:30:00
20231028,20:45,发电有功,13994.5029,0.0,0.0,0.0,2023-10-28 20:45:00
20231028,21:00,发电有功,14022.5459,0.0,0.0,0.0,2023-10-28 21:00:00
20231028,21:15,发电有功,13977.3369,0.0,0.0,0.0,2023-10-28 21:15:00
20231028,21:30,发电有功,13862.165,0.0,0.0,0.0,2023-10-28 21:30:00
20231028,21:45,发电有功,13880.8604,0.0,0.0,0.0,2023-10-28 21:45:00
20231028,22:00,发电有功,13973.4863,0.0,0.0,0.0,2023-10-28 22:00:00
20231028,22:15,发电有功,13926.8438,0.0,0.0,0.0,2023-10-28 22:15:00
20231028,22:30,发电有功,13990.332,0.0,0.0,0.0,2023-10-28 22:30:00
20231028,22:45,发电有功,13976.501,0.0,0.0,0.0,2023-10-28 22:45:00
20231028,23:00,发电有功,13930.2168,0.0,0.0,0.0,2023-10-28 23:00:00
20231028,23:15,发电有功,13764.1494,0.0,0.0,0.0,2023-10-28 23:15:00
20231029,00:00,发电有功,13239.0781,0.0,0.0,0.0,2023-10-29 00:00:00
20231029,00:15,发电有功,13267.7695,0.0,0.0,0.0,2023-10-29 00:15:00
20231029,00:30,发电有功,13236.083,0.0,0.0,0.0,2023-10-29 00:30:00
20231029,00:45,发电有功,13090.6787,0.0,0.0,0.0,2023-10-29 00:45:00
20231029,01:00,发电有功,13119.042,0.0,0.0,0.0,2023-10-29 01:00:00
20231029,01:15,发电有功,12939.8467,0.0,0.0,0.0,2023-10-29 01:15:00
