日期,时间,发电类型,发电出力值,负荷率,受阻率,厂用率,日期时间
20231028,15:30,光伏,1063.2375,0.0,0.0,0.8523,2023-10-28 15:30:00
20231028,15:45,光伏,696.3683,0.0,0.0,1.2949,2023-10-28 15:45:00
20231028,16:00,光伏,320.6456,0.0,0.0,2.1035,2023-10-28 16:00:00
20231028,16:15,光伏,94.8379,0.0,0.0,6.1523,2023-10-28 16:15:00
20231029,06:45,光伏,111.9896,0.0,0.0,5.7129,2023-10-29 06:45:00
20231029,07:00,光伏,318.921,0.0,0.0,1.9712,2023-10-29 07:00:00
20231029,07:15,光伏,562.4641,0.0,0.0,1.1125,2023-10-29 07:15:00
20231029,07:30,光伏,818.6285,0.0,0.0,1.0613,2023-10-29 07:30:00
20231029,07:45,光伏,1100.8463,0.0,0.0,0.806,2023-10-29 07:45:00
20231029,08:00,光伏,1379.811,0.0,0.0,0.7199,2023-10-29 08:00:00
20231029,08:15,光伏,1655.4102,0.0,0.0,0.7393,2023-10-29 08:15:00
20231029,08:30,光伏,1874.0032,0.0,0.0,0.5433,2023-10-29 08:30:00
20231029,08:45,光伏,2123.6006,0.0,0.0,0.5596,2023-10-29 08:45:00
20231029,09:00,光伏,2329.3262,0.0,0.0,0.6517,2023-10-29 09:00:00
20231029,09:15,光伏,2528.7085,0.0,0.0,0.5327,2023-10-29 09:15:00
20231029,09:30,光伏,2687.6155,0.0,0.0,0.5937,2023-10-29 09:30:00
20231029,09:45,光伏,2784.4243,0.0,0.0,0.5554,2023-10-29 09:45:00
20231029,10:00,光伏,2948.8857,0.0,0.0,0.5259,2023-10-29 10:00:00
20231029,10:15,光伏,3050.4768,0.0,0.0,0.5161,2023-10-29 10:15:00
20231029,10:30,光伏,3120.7263,0.0,0.0,0.5836,2023-10-29 10:30:00
20231029,10:45,光伏,3189.8767,0.0,0.0,0.5545,2023-10-29 10:45:00
20231029,11:00,光伏,3237.9319,0.0,0.0,0.5777,2023-10-29 11:00:00
20231029,11:15,光伏,3214.6531,0.0,0.0,0.6044,2023-10-29 11:15:00
20231029,11:30,光伏,3207.0767,0.0,0.0,0.5473,2023-10-29 11:30:00
20231029,11:45,光伏,3172.9458,0.0,0.0,0.5742,2023-10-29 11:45:00
20231029,12:00,光伏,3108.9504,0.0,0.0,0.5362,2023-10-29 12:00:00
20231029,12:15,光伏,3051.5823,0.0,0.0,0.5602,2023-10-29 12:15:00
20231029,12:30,光伏,2911.2852,0.0,0.0,0.5439,2023-10-29 12:30:00
20231029,12:45,光伏,2861.4966,0.0,0.0,0.5223,2023-10-29 12:45:00
20231029,13:00,光伏,2713.1616,0.0,0.0,0.5363,2023-10-29 13:00:00
20231029,13:15,光伏,2509.6973,0.0,0.0,0.6031,2023-10-29 13:15:00
20231029,13:30,光伏,2326.8787,0.0,0.0,0.5773,2023-10-29 13:30:00
20231029,13:45,光伏,2105.7756,0.0,0.0,0.6482,2023-10-29 13:45:00
20231029,14:00,光伏,1856.537,0.0,0.0,0.8379,2023-10-29 14:00:00
20231029,14:15,光伏,1598.1934,0.0,0.0,1.2217,2023-10-29 14:15:00
20231029,14:30,光伏,1347.1998,0.0,0.0,1.7209,2023-10-29 14:30:00
20231029,14:45,光伏,1096.7683,0.0,0.0,2.3726,2023-10-29 14:45:00
20231029,15:00,光伏,842.1544,0.0,0.0,3.1428,2023-10-29 15:00:00
20231029,15:15,光伏,633.0631,0.0,0.0,4.6702,2023-10-29 15:15:00
20231029,15:30,光伏,435.0834,0.0,0.0,7.5483,2023-10-29 15:30:00
20231029,15:45,光伏,273.9864,0.0,0.0,13.0375,2023-10-29 15:45:00
20231029,16:00,光伏,155.5616,0.0,0.0,26.1955,2023-10-29 16:00:00
20231029,16:15,光伏,73.2835,0.0,0.0,49.2331,2023-10-29 16:15:00
20231030,06:45,光伏,114.105,0.0,0.0,6.3963,2023-10-30 06:45:00
20231030,07:00,光伏,448.2831,0.0,0.0,1.619,2023-10-30 07:00:00
20231030,07:15,光伏,855.7739,0.0,0.0,1.016,2023-10-30 07:15:00
20231030,07:30,光伏,1237.7842,0.0,0.0,0.4892,2023-10-30 07:30:00
20231030,07:45,光伏,1604.2434,0.0,0.0,0.6437,2023-10-30 07:45:00
20231030,08:00,光伏,1957.5604,0.0,0.0,0.6491,2023-10-30 08:00:00
20231030,08:15,光伏,2276.8569,0.0,0.0,0.5671,2023-10-30 08:15:00
20231030,08:30,光伏,2570.8281,0.0,0.0,0.5656,2023-10-30 08:30:00
20231030,08:45,光伏,2821.1003,0.0,0.0,0.5163,2023-10-30 08:45:00
20231030,09:00,光伏,3039.5122,0.0,0.0,0.5629,2023-10-30 09:00:00
20231030,09:15,光伏,3065.1348,0.0,0.0,0.6106,2023-10-30 09:15:00
20231030,09:30,光伏,3179.1499,0.0,0.0,0.1948,2023-10-30 09:30:00
20231030,09:45,光伏,3331.0837,0.0,0.0,0.1358,2023-10-30 09:45:00
20231030,10:00,光伏,3438.1165,0.0,0.0,0.2749,2023-10-30 10:00:00
20231030,10:15,光伏,3498.5732,0.0,0.0,0.6088,2023-10-30 10:15:00
20231030,10:30,光伏,3568.905,0.0,0.0,0.5976,2023-10-30 10:30:00
20231030,10:45,光伏,3621.0481,0.0,0.0,0.63,2023-10-30 10:45:00
20231030,11:00,光伏,3659.4534,0.0,0.0,0.6043,2023-10-30 11:00:00
20231030,11:15,光伏,3676.6113,0.0,0.0,0.6179,2023-10-30 11:15:00
20231030,11:30,光伏,3678.9368,0.0,0.0,0.6493,2023-10-30 11:30:00
20231030,11:45,光伏,3623.6294,0.0,0.0,0.6129,2023-10-30 11:45:00
20231030,12:00,光伏,3618.1375,0.0,0.0,0.571,2023-10-30 12:00:00
20231030,12:15,光伏,3564.9714,0.0,0.0,0.6091,2023-10-30 12:15:00
20231030,12:30,光伏,3503.6619,0.0,0.0,0.582,2023-10-30 12:30:00
20231030,12:45,光伏,3488.7385,0.0,0.0,0.3933,2023-10-30 12:45:00
