日期,时间,发电类型,发电出力值,负荷率,受阻率,厂用率,日期时间
20231028,15:30,火电燃煤,11417.4727,0.0,0.0,10.0141,2023-10-28 15:30:00
20231028,15:45,火电燃煤,11787.7207,0.0,0.0,9.8735,2023-10-28 15:45:00
20231028,16:00,火电燃煤,12203.3711,0.0,0.0,9.7262,2023-10-28 16:00:00
20231028,16:15,火电燃煤,12287.1416,0.0,0.0,9.6317,2023-10-28 16:15:00
20231028,16:30,火电燃煤,12218.0049,0.0,0.0,9.6512,2023-10-28 16:30:00
20231028,16:45,火电燃煤,12081.8115,0.0,0.0,9.7415,2023-10-28 16:45:00
20231028,17:00,火电燃煤,12052.3281,0.0,0.0,9.7341,2023-10-28 17:00:00
20231028,17:15,火电燃煤,12039.2813,0.0,0.0,9.7549,2023-10-28 17:15:00
20231028,17:30,火电燃煤,11795.0479,0.0,0.0,9.8815,2023-10-28 17:30:00
20231028,17:45,火电燃煤,11676.166,0.0,0.0,9.8034,2023-10-28 17:45:00
20231028,18:00,火电燃煤,11172.9023,0.0,0.0,10.1413,2023-10-28 18:00:00
20231028,18:15,火电燃煤,10911.6094,0.0,0.0,10.1437,2023-10-28 18:15:00
20231028,18:30,火电燃煤,10628.6367,0.0,0.0,10.261,2023-10-28 18:30:00
20231028,18:45,火电燃煤,10211.7139,0.0,0.0,10.5026,2023-10-28 18:45:00
20231028,19:00,火电燃煤,9473.2363,0.0,0.0,10.8505,2023-10-28 19:00:00
20231028,19:15,火电燃煤,9229.2432,0.0,0.0,11.0971,2023-10-28 19:15:00
20231028,19:30,火电燃煤,9131.9912,0.0,0.0,11.1408,2023-10-28 19:30:00
20231028,19:45,火电燃煤,9000.2842,0.0,0.0,11.1159,2023-10-28 19:45:00
20231028,20:00,火电燃煤,8838.251,0.0,0.0,11.3263,2023-10-28 20:00:00
20231028,20:15,火电燃煤,8776.9727,0.0,0.0,11.274,2023-10-28 20:15:00
20231028,20:30,火电燃煤,8868.2813,0.0,0.0,11.1993,2023-10-28 20:30:00
20231028,20:45,火电燃煤,9108.9053,0.0,0.0,10.9747,2023-10-28 20:45:00
20231028,21:00,火电燃煤,9090.7754,0.0,0.0,10.9036,2023-10-28 21:00:00
20231028,21:15,火电燃煤,9024.249,0.0,0.0,10.953,2023-10-28 21:15:00
20231028,21:30,火电燃煤,8862.7021,0.0,0.0,10.9846,2023-10-28 21:30:00
20231028,21:45,火电燃煤,8854.9268,0.0,0.0,11.0335,2023-10-28 21:45:00
20231028,22:00,火电燃煤,8921.918,0.0,0.0,11.1012,2023-10-28 22:00:00
20231028,22:15,火电燃煤,8873.4482,0.0,0.0,11.1342,2023-10-28 22:15:00
20231028,22:30,火电燃煤,8884.9619,0.0,0.0,11.1065,2023-10-28 22:30:00
20231028,22:45,火电燃煤,8908.3516,0.0,0.0,11.0516,2023-10-28 22:45:00
20231028,23:00,火电燃煤,8851.8633,0.0,0.0,11.0854,2023-10-28 23:00:00
20231028,23:15,火电燃煤,8622.4961,0.0,0.0,11.3848,2023-10-28 23:15:00
20231029,00:00,火电燃煤,8068.1929,0.0,0.0,11.999,2023-10-29 00:00:00
20231029,00:15,火电燃煤,8063.7466,0.0,0.0,11.946,2023-10-29 00:15:00
20231029,00:30,火电燃煤,7996.9253,0.0,0.0,12.1019,2023-10-29 00:30:00
20231029,00:45,火电燃煤,7828.5928,0.0,0.0,12.1664,2023-10-29 00:45:00
20231029,01:00,火电燃煤,7806.9038,0.0,0.0,12.3094,2023-10-29 01:00:00
20231029,01:15,火电燃煤,7615.0464,0.0,0.0,12.5036,2023-10-29 01:15:00
20231029,01:30,火电燃煤,7523.3477,0.0,0.0,12.6097,2023-10-29 01:30:00
20231029,01:45,火电燃煤,7509.9263,0.0,0.0,12.687,2023-10-29 01:45:00
20231029,02:00,火电燃煤,7493.6196,0.0,0.0,12.7846,2023-10-29 02:00:00
20231029,02:15,火电燃煤,7483.6738,0.0,0.0,12.6542,2023-10-29 02:15:00
20231029,02:30,火电燃煤,7526.6191,0.0,0.0,12.712,2023-10-29 02:30:00
20231029,02:45,火电燃煤,7505.9834,0.0,0.0,12.6767,2023-10-29 02:45:00
20231029,03:00,火电燃煤,7500.3828,0.0,0.0,12.5869,2023-10-29 03:00:00
20231029,03:15,火电燃煤,7500.9771,0.0,0.0,12.7018,2023-10-29 03:15:00
20231029,03:30,火电燃煤,7463.0264,0.0,0.0,12.6894,2023-10-29 03:30:00
20231029,03:45,火电燃煤,7496.8022,0.0,0.0,12.6218,2023-10-29 03:45:00
20231029,04:00,火电燃煤,7508.9512,0.0,0.0,12.621,2023-10-29 04:00:00
20231029,04:15,火电燃煤,7749.793,0.0,0.0,12.3614,2023-10-29 04:15:00
20231029,04:30,火电燃煤,7838.4746,0.0,0.0,12.1734,2023-10-29 04:30:00
20231029,04:45,火电燃煤,7849.4238,0.0,0.0,12.138,2023-10-29 04:45:00
20231029,05:00,火电燃煤,7834.3213,0.0,0.0,12.1514,2023-10-29 05:00:00
20231029,05:15,火电燃煤,7809.2109,0.0,0.0,12.2733,2023-10-29 05:15:00
20231029,05:30,火电燃煤,7891.6572,0.0,0.0,12.1896,2023-10-29 05:30:00
20231029,05:45,火电燃煤,8496.9609,0.0,0.0,11.4935,2023-10-29 05:45:00
20231029,06:00,火电燃煤,8542.3604,0.0,0.0,11.449,2023-10-29 06:00:00
20231029,06:15,火电燃煤,8727.8867,0.0,0.0,11.2917,2023-10-29 06:15:00
20231029,06:30,火电燃煤,9043.7813,0.0,0.0,11.0153,2023-10-29 06:30:00
20231029,06:45,火电燃煤,9173.6709,0.0,0.0,10.8109,2023-10-29 06:45:00
20231029,07:00,火电燃煤,9097.7939,0.0,0.0,10.8995,2023-10-29 07:00:00
20231029,07:15,火电燃煤,9039.71,0.0,0.0,10.9253,2023-10-29 07:15:00
20231029,07:30,火电燃煤,8642.4795,0.0,0.0,11.1567,2023-10-29 07:30:00
20231029,07:45,火电燃煤,8417.5059,0.0,0.0,11.3179,2023-10-29 07:45:00
20231029,08:00,火电燃煤,8614.8672,0.0,0.0,11.3861,2023-10-29 08:00:00
20231029,08:15,火电燃煤,8633.4561,0.0,0.0,11.2502,2023-10-29 08:15:00
20231029,08:30,火电燃煤,8615.4189,0.0,0.0,11.1807,2023-10-29 08:30:00
20231029,08:45,火电燃煤,8613.1426,0.0,0.0,11.2757,2023-10-29 08:45:00
20231029,09:00,火电燃煤,8613.293,0.0,0.0,11.3135,2023-10-29 09:00:00
20231029,09:15,火电燃煤,8575.6406,0.0,0.0,11.3989,2023-10-29 09:15:00
20231029,09:30,火电燃煤,8632.4336,0.0,0.0,11.5293,2023-10-29 09:30:00
20231029,09:45,火电燃煤,8610.2529,0.0,0.0,11.3459,2023-10-29 09:45:00
20231029,10:00,火电燃煤,8314.3809,0.0,0.0,11.7342,2023-10-29 10:00:00
20231029,10:15,火电燃煤,7981.5854,0.0,0.0,12.1203,2023-10-29 10:15:00
20231029,10:30,火电燃煤,8107.9595,0.0,0.0,12.0372,2023-10-29 10:30:00
20231029,10:45,火电燃煤,8090.8042,0.0,0.0,12.1021,2023-10-29 10:45:00
20231029,11:00,火电燃煤,8063.3501,0.0,0.0,11.9983,2023-10-29 11:00:00
20231029,11:15,火电燃煤,8121.5625,0.0,0.0,11.7182,2023-10-29 11:15:00
20231029,11:30,火电燃煤,8021.5024,0.0,0.0,11.9748,2023-10-29 11:30:00
20231029,11:45,火电燃煤,7981.5894,0.0,0.0,12.0484,2023-10-29 11:45:00
20231029,12:00,火电燃煤,7622.8662,0.0,0.0,12.4747,2023-10-29 12:00:00
20231029,12:15,火电燃煤,7460.7603,0.0,0.0,12.693,2023-10-29 12:15:00
20231029,12:30,火电燃煤,7505.4727,0.0,0.0,12.7114,2023-10-29 12:30:00
20231029,12:45,火电燃煤,7491.0669,0.0,0.0,12.7044,2023-10-29 12:45:00
20231029,13:00,火电燃煤,7483.2148,0.0,0.0,12.6192,2023-10-29 13:00:00
20231029,13:15,火电燃煤,7467.7651,0.0,0.0,12.7442,2023-10-29 13:15:00
20231029,13:30,火电燃煤,7764.7974,0.0,0.0,12.5269,2023-10-29 13:30:00
20231029,13:45,火电燃煤,8017.6689,0.0,0.0,12.276,2023-10-29 13:45:00
20231029,14:00,火电燃煤,8101.0396,0.0,0.0,12.2143,2023-10-29 14:00:00
20231029,14:15,火电燃煤,8631.4111,0.0,0.0,11.5379,2023-10-29 14:15:00
20231029,14:30,火电燃煤,8963.1973,0.0,0.0,11.387,2023-10-29 14:30:00
20231029,14:45,火电燃煤,9259.8779,0.0,0.0,11.2907,2023-10-29 14:45:00
20231029,15:00,火电燃煤,9463.0156,0.0,0.0,11.1499,2023-10-29 15:00:00
20231029,15:15,火电燃煤,9688.6689,0.0,0.0,10.8377,2023-10-29 15:15:00
20231029,15:30,火电燃煤,9481.9072,0.0,0.0,11.05,2023-10-29 15:30:00
20231029,15:45,火电燃煤,9851.8545,0.0,0.0,11.0269,2023-10-29 15:45:00
20231029,16:00,火电燃煤,10282.541,0.0,0.0,10.686,2023-10-29 16:00:00
20231029,16:15,火电燃煤,10153.8887,0.0,0.0,10.6074,2023-10-29 16:15:00
20231029,16:30,火电燃煤,9994.4424,0.0,0.0,10.8427,2023-10-29 16:30:00
20231029,16:45,火电燃煤,9960.9463,0.0,0.0,10.8773,2023-10-29 16:45:00
20231029,17:00,火电燃煤,9786.0869,0.0,0.0,10.9984,2023-10-29 17:00:00
20231029,17:15,火电燃煤,9732.4678,0.0,0.0,11.0409,2023-10-29 17:15:00
20231029,17:30,火电燃煤,9459.8262,0.0,0.0,11.2877,2023-10-29 17:30:00
20231029,17:45,火电燃煤,9238.043,0.0,0.0,11.3482,2023-10-29 17:45:00
20231029,18:00,火电燃煤,9134.5303,0.0,0.0,11.5894,2023-10-29 18:00:00
20231029,18:15,火电燃煤,9090.4453,0.0,0.0,11.5219,2023-10-29 18:15:00
20231029,18:30,火电燃煤,9093.0947,0.0,0.0,11.4933,2023-10-29 18:30:00
20231029,18:45,火电燃煤,9160.5469,0.0,0.0,11.4387,2023-10-29 18:45:00
20231029,19:00,火电燃煤,9241.167,0.0,0.0,11.3328,2023-10-29 19:00:00
20231029,19:15,火电燃煤,9263.0244,0.0,0.0,11.2594,2023-10-29 19:15:00
20231029,19:30,火电燃煤,9184.2314,0.0,0.0,11.3943,2023-10-29 19:30:00
20231029,19:45,火电燃煤,9211.0068,0.0,0.0,11.2499,2023-10-29 19:45:00
20231029,20:00,火电燃煤,9156.2891,0.0,0.0,11.4147,2023-10-29 20:00:00
