日期,时间,发电类型,发电出力值,负荷率,受阻率,厂用率,日期时间
20231028,15:30,火电生物质,1195.7607,0.0,0.0,0.0,2023-10-28 15:30:00
20231028,15:45,火电生物质,1207.2881,0.0,0.0,0.0,2023-10-28 15:45:00
20231028,16:00,火电生物质,1198.0421,0.0,0.0,0.0,2023-10-28 16:00:00
20231028,16:15,火电生物质,1207.6936,0.0,0.0,0.0,2023-10-28 16:15:00
20231028,16:30,火电生物质,1220.0701,0.0,0.0,0.0,2023-10-28 16:30:00
20231028,16:45,火电生物质,1211.1537,0.0,0.0,0.0,2023-10-28 16:45:00
20231028,17:00,火电生物质,1221.8384,0.0,0.0,0.0,2023-10-28 17:00:00
20231028,17:15,火电生物质,1231.5327,0.0,0.0,0.0,2023-10-28 17:15:00
20231028,17:30,火电生物质,1249.3098,0.0,0.0,0.0,2023-10-28 17:30:00
20231028,17:45,火电生物质,1255.4863,0.0,0.0,0.0,2023-10-28 17:45:00
20231028,18:00,火电生物质,1244.6304,0.0,0.0,0.0,2023-10-28 18:00:00
20231028,18:15,火电生物质,1234.0221,0.0,0.0,0.0,2023-10-28 18:15:00
20231028,18:30,火电生物质,1262.238,0.0,0.0,0.0,2023-10-28 18:30:00
20231028,18:45,火电生物质,1249.6135,0.0,0.0,0.0,2023-10-28 18:45:00
20231028,19:00,火电生物质,1258.825,0.0,0.0,0.0,2023-10-28 19:00:00
20231028,19:15,火电生物质,1250.3904,0.0,0.0,0.0,2023-10-28 19:15:00
20231028,19:30,火电生物质,1258.381,0.0,0.0,0.0,2023-10-28 19:30:00
20231028,19:45,火电生物质,1250.8372,0.0,0.0,0.0,2023-10-28 19:45:00
20231028,20:00,火电生物质,1259.9429,0.0,0.0,0.0,2023-10-28 20:00:00
20231028,20:15,火电生物质,1248.8411,0.0,0.0,0.0,2023-10-28 20:15:00
20231028,20:30,火电生物质,1266.6244,0.0,0.0,0.0,2023-10-28 20:30:00
20231028,20:45,火电生物质,1240.5687,0.0,0.0,0.0,2023-10-28 20:45:00
20231028,21:00,火电生物质,1256.0653,0.0,0.0,0.0,2023-10-28 21:00:00
20231028,21:15,火电生物质,1253.0861,0.0,0.0,0.0,2023-10-28 21:15:00
20231028,21:30,火电生物质,1247.9307,0.0,0.0,0.0,2023-10-28 21:30:00
20231028,21:45,火电生物质,1237.292,0.0,0.0,0.0,2023-10-28 21:45:00
20231028,22:00,火电生物质,1247.9982,0.0,0.0,0.0,2023-10-28 22:00:00
20231028,22:15,火电生物质,1246.8663,0.0,0.0,0.0,2023-10-28 22:15:00
20231028,22:30,火电生物质,1266.7422,0.0,0.0,0.0,2023-10-28 22:30:00
20231028,22:45,火电生物质,1241.343,0.0,0.0,0.0,2023-10-28 22:45:00
20231028,23:00,火电生物质,1238.4557,0.0,0.0,0.0,2023-10-28 23:00:00
20231028,23:15,火电生物质,1265.986,0.0,0.0,0.0,2023-10-28 23:15:00
20231029,00:00,火电生物质,1227.7192,0.0,0.0,0.0,2023-10-29 00:00:00
20231029,00:15,火电生物质,1224.021,0.0,0.0,0.0,2023-10-29 00:15:00
20231029,00:30,火电生物质,1225.281,0.0,0.0,0.0,2023-10-29 00:30:00
20231029,00:45,火电生物质,1201.5233,0.0,0.0,0.0,2023-10-29 00:45:00
20231029,01:00,火电生物质,1187.142,0.0,0.0,0.0,2023-10-29 01:00:00
20231029,01:15,火电生物质,1164.053,0.0,0.0,0.0,2023-10-29 01:15:00
20231029,01:30,火电生物质,1194.129,0.0,0.0,0.0,2023-10-29 01:30:00
20231029,01:45,火电生物质,1189.0618,0.0,0.0,0.0,2023-10-29 01:45:00
20231029,02:00,火电生物质,1185.5249,0.0,0.0,0.0,2023-10-29 02:00:00
20231029,02:15,火电生物质,1181.1359,0.0,0.0,0.0,2023-10-29 02:15:00
20231029,02:30,火电生物质,1183.4377,0.0,0.0,0.0,2023-10-29 02:30:00
20231029,02:45,火电生物质,1185.9473,0.0,0.0,0.0,2023-10-29 02:45:00
20231029,03:00,火电生物质,1193.9736,0.0,0.0,0.0,2023-10-29 03:00:00
20231029,03:15,火电生物质,1194.4497,0.0,0.0,0.0,2023-10-29 03:15:00
20231029,03:30,火电生物质,1188.653,0.0,0.0,0.0,2023-10-29 03:30:00
20231029,03:45,火电生物质,1202.0792,0.0,0.0,0.0,2023-10-29 03:45:00
20231029,04:00,火电生物质,1203.9023,0.0,0.0,0.0,2023-10-29 04:00:00
20231029,04:15,火电生物质,1200.4973,0.0,0.0,0.0,2023-10-29 04:15:00
20231029,04:30,火电生物质,1190.5271,0.0,0.0,0.0,2023-10-29 04:30:00
20231029,04:45,火电生物质,1194.3209,0.0,0.0,0.0,2023-10-29 04:45:00
20231029,05:00,火电生物质,1186.0588,0.0,0.0,0.0,2023-10-29 05:00:00
20231029,05:15,火电生物质,1190.9794,0.0,0.0,0.0,2023-10-29 05:15:00
20231029,05:30,火电生物质,1165.5416,0.0,0.0,0.0,2023-10-29 05:30:00
20231029,05:45,火电生物质,1173.8335,0.0,0.0,0.0,2023-10-29 05:45:00
20231029,06:00,火电生物质,1165.6814,0.0,0.0,0.0,2023-10-29 06:00:00
20231029,06:15,火电生物质,1168.0181,0.0,0.0,0.0,2023-10-29 06:15:00
20231029,06:30,火电生物质,1178.6812,0.0,0.0,0.0,2023-10-29 06:30:00
20231029,06:45,火电生物质,1179.3727,0.0,0.0,0.0,2023-10-29 06:45:00
20231029,07:00,火电生物质,1170.9668,0.0,0.0,0.0,2023-10-29 07:00:00
20231029,07:15,火电生物质,1174.4858,0.0,0.0,0.0,2023-10-29 07:15:00
20231029,07:30,火电生物质,1174.6218,0.0,0.0,0.0,2023-10-29 07:30:00
20231029,07:45,火电生物质,1180.7136,0.0,0.0,0.0,2023-10-29 07:45:00
20231029,08:00,火电生物质,1187.021,0.0,0.0,0.0,2023-10-29 08:00:00
20231029,08:15,火电生物质,1195.0265,0.0,0.0,0.0,2023-10-29 08:15:00
20231029,08:30,火电生物质,1176.5103,0.0,0.0,0.0,2023-10-29 08:30:00
20231029,08:45,火电生物质,1175.0415,0.0,0.0,0.0,2023-10-29 08:45:00
20231029,09:00,火电生物质,1194.1658,0.0,0.0,0.0,2023-10-29 09:00:00
20231029,09:15,火电生物质,1162.7283,0.0,0.0,0.0,2023-10-29 09:15:00
20231029,09:30,火电生物质,1165.2367,0.0,0.0,0.0,2023-10-29 09:30:00
20231029,09:45,火电生物质,1175.8383,0.0,0.0,0.0,2023-10-29 09:45:00
20231029,10:00,火电生物质,1186.1752,0.0,0.0,0.0,2023-10-29 10:00:00
20231029,10:15,火电生物质,1167.4482,0.0,0.0,0.0,2023-10-29 10:15:00
20231029,10:30,火电生物质,1161.5969,0.0,0.0,0.0,2023-10-29 10:30:00
20231029,10:45,火电生物质,1159.4935,0.0,0.0,0.0,2023-10-29 10:45:00
20231029,11:00,火电生物质,1146.4565,0.0,0.0,0.0,2023-10-29 11:00:00
20231029,11:15,火电生物质,1155.0034,0.0,0.0,0.0,2023-10-29 11:15:00
20231029,11:30,火电生物质,1162.37,0.0,0.0,0.0,2023-10-29 11:30:00
20231029,11:45,火电生物质,1174.3489,0.0,0.0,0.0,2023-10-29 11:45:00
20231029,12:00,火电生物质,1174.999,0.0,0.0,0.0,2023-10-29 12:00:00
20231029,12:15,火电生物质,1180.8098,0.0,0.0,0.0,2023-10-29 12:15:00
20231029,12:30,火电生物质,1185.2568,0.0,0.0,0.0,2023-10-29 12:30:00
20231029,12:45,火电生物质,1173.9365,0.0,0.0,0.0,2023-10-29 12:45:00
20231029,13:00,火电生物质,1175.9468,0.0,0.0,0.0,2023-10-29 13:00:00
20231029,13:15,火电生物质,1171.6409,0.0,0.0,0.0,2023-10-29 13:15:00
20231029,13:30,火电生物质,1161.858,0.0,0.0,0.0,2023-10-29 13:30:00
20231029,13:45,火电生物质,1158.4976,0.0,0.0,0.0,2023-10-29 13:45:00
20231029,14:00,火电生物质,1151.667,0.0,0.0,0.0,2023-10-29 14:00:00
20231029,14:15,火电生物质,1163.3022,0.0,0.0,0.0,2023-10-29 14:15:00
20231029,14:30,火电生物质,1166.3776,0.0,0.0,0.0,2023-10-29 14:30:00
20231029,14:45,火电生物质,1164.5939,0.0,0.0,0.0,2023-10-29 14:45:00
20231029,15:00,火电生物质,1169.9716,0.0,0.0,0.0,2023-10-29 15:00:00
20231029,15:15,火电生物质,1191.4255,0.0,0.0,0.0,2023-10-29 15:15:00
20231029,15:30,火电生物质,1164.8433,0.0,0.0,0.0,2023-10-29 15:30:00
20231029,15:45,火电生物质,1195.2466,0.0,0.0,0.0,2023-10-29 15:45:00
20231029,16:00,火电生物质,1171.0294,0.0,0.0,0.0,2023-10-29 16:00:00
20231029,16:15,火电生物质,1141.9657,0.0,0.0,0.0,2023-10-29 16:15:00
20231029,16:30,火电生物质,1157.7125,0.0,0.0,0.0,2023-10-29 16:30:00
20231029,16:45,火电生物质,1161.459,0.0,0.0,0.0,2023-10-29 16:45:00
20231029,17:00,火电生物质,1185.3405,0.0,0.0,0.0,2023-10-29 17:00:00
20231029,17:15,火电生物质,1188.5648,0.0,0.0,0.0,2023-10-29 17:15:00
20231029,17:30,火电生物质,1171.6868,0.0,0.0,0.0,2023-10-29 17:30:00
20231029,17:45,火电生物质,1194.5699,0.0,0.0,0.0,2023-10-29 17:45:00
20231029,18:00,火电生物质,1161.0417,0.0,0.0,0.0,2023-10-29 18:00:00
20231029,18:15,火电生物质,1166.8335,0.0,0.0,0.0,2023-10-29 18:15:00
20231029,18:30,火电生物质,1178.923,0.0,0.0,0.0,2023-10-29 18:30:00
20231029,18:45,火电生物质,1174.0035,0.0,0.0,0.0,2023-10-29 18:45:00
20231029,19:00,火电生物质,1195.923,0.0,0.0,0.0,2023-10-29 19:00:00
20231029,19:15,火电生物质,1188.641,0.0,0.0,0.0,2023-10-29 19:15:00
20231029,19:30,火电生物质,1195.7693,0.0,0.0,0.0,2023-10-29 19:30:00
20231029,19:45,火电生物质,1198.502,0.0,0.0,0.0,2023-10-29 19:45:00
20231029,20:00,火电生物质,1202.5657,0.0,0.0,0.0,2023-10-29 20:00:00
