日期,时间,发电类型,发电出力值,负荷率,受阻率,厂用率,日期时间
20231028,15:30,水电有功,460.5616,0.0,0.0,1.0456,2023-10-28 15:30:00
20231028,15:45,水电有功,459.2609,0.0,0.0,0.75,2023-10-28 15:45:00
20231028,16:00,水电有功,459.903,0.0,0.0,1.0041,2023-10-28 16:00:00
20231028,16:15,水电有功,463.6022,0.0,0.0,1.9263,2023-10-28 16:15:00
20231028,16:30,水电有功,358.3856,0.0,0.0,1.5019,2023-10-28 16:30:00
20231028,16:45,水电有功,357.4554,0.0,0.0,1.4138,2023-10-28 16:45:00
20231028,17:00,水电有功,318.6767,0.0,0.0,2.488,2023-10-28 17:00:00
20231028,17:15,水电有功,320.9788,0.0,0.0,1.5678,2023-10-28 17:15:00
20231028,17:30,水电有功,319.333,0.0,0.0,2.1626,2023-10-28 17:30:00
20231028,17:45,水电有功,316.3463,0.0,0.0,1.7175,2023-10-28 17:45:00
20231028,18:00,水电有功,302.3535,0.0,0.0,1.2246,2023-10-28 18:00:00
20231028,18:15,水电有功,302.8948,0.0,0.0,3.1611,2023-10-28 18:15:00
20231028,18:30,水电有功,303.5452,0.0,0.0,2.7665,2023-10-28 18:30:00
20231028,18:45,水电有功,214.1533,0.0,0.0,1.403,2023-10-28 18:45:00
20231028,19:00,水电有功,214.5073,0.0,0.0,1.1779,2023-10-28 19:00:00
20231028,19:15,水电有功,214.8837,0.0,0.0,1.4504,2023-10-28 19:15:00
20231028,19:30,水电有功,214.8067,0.0,0.0,1.329,2023-10-28 19:30:00
20231028,19:45,水电有功,214.4066,0.0,0.0,0.9729,2023-10-28 19:45:00
20231028,20:00,水电有功,214.952,0.0,0.0,1.2337,2023-10-28 20:00:00
20231028,20:15,水电有功,214.4092,0.0,0.0,0.787,2023-10-28 20:15:00
20231028,20:30,水电有功,214.7308,0.0,0.0,0.9437,2023-10-28 20:30:00
20231028,20:45,水电有功,214.6701,0.0,0.0,0.9209,2023-10-28 20:45:00
20231028,21:00,水电有功,214.9981,0.0,0.0,1.2258,2023-10-28 21:00:00
20231028,21:15,水电有功,215.2816,0.0,0.0,1.1388,2023-10-28 21:15:00
20231028,21:30,水电有功,214.3577,0.0,0.0,1.2004,2023-10-28 21:30:00
20231028,21:45,水电有功,214.8181,0.0,0.0,1.2717,2023-10-28 21:45:00
20231028,22:00,水电有功,214.6171,0.0,0.0,1.0973,2023-10-28 22:00:00
20231028,22:15,水电有功,213.1262,0.0,0.0,1.2937,2023-10-28 22:15:00
20231028,22:30,水电有功,213.1614,0.0,0.0,1.3494,2023-10-28 22:30:00
20231028,22:45,水电有功,212.7716,0.0,0.0,0.8458,2023-10-28 22:45:00
20231028,23:00,水电有功,178.374,0.0,0.0,1.8588,2023-10-28 23:00:00
20231028,23:15,水电有功,178.3683,0.0,0.0,-0.4403,2023-10-28 23:15:00
20231029,00:00,水电有功,176.7598,0.0,0.0,1.6841,2023-10-29 00:00:00
20231029,00:15,水电有功,176.3134,0.0,0.0,1.58,2023-10-29 00:15:00
20231029,00:30,水电有功,176.8295,0.0,0.0,1.6291,2023-10-29 00:30:00
20231029,00:45,水电有功,176.1528,0.0,0.0,1.785,2023-10-29 00:45:00
20231029,01:00,水电有功,176.5932,0.0,0.0,2.0781,2023-10-29 01:00:00
20231029,01:15,水电有功,175.9506,0.0,0.0,2.0076,2023-10-29 01:15:00
20231029,01:30,水电有功,176.2096,0.0,0.0,1.7519,2023-10-29 01:30:00
20231029,01:45,水电有功,176.5936,0.0,0.0,-0.5255,2023-10-29 01:45:00
20231029,02:00,水电有功,177.0084,0.0,0.0,1.7894,2023-10-29 02:00:00
20231029,02:15,水电有功,177.3808,0.0,0.0,1.5956,2023-10-29 02:15:00
20231029,02:30,水电有功,177.2109,0.0,0.0,-0.619,2023-10-29 02:30:00
20231029,02:45,水电有功,177.5837,0.0,0.0,1.8669,2023-10-29 02:45:00
20231029,03:00,水电有功,177.3057,0.0,0.0,1.95,2023-10-29 03:00:00
20231029,03:15,水电有功,177.5233,0.0,0.0,2.2809,2023-10-29 03:15:00
20231029,03:30,水电有功,177.376,0.0,0.0,1.6452,2023-10-29 03:30:00
20231029,03:45,水电有功,177.3443,0.0,0.0,1.7291,2023-10-29 03:45:00
20231029,04:00,水电有功,177.3006,0.0,0.0,2.2958,2023-10-29 04:00:00
20231029,04:15,水电有功,177.5214,0.0,0.0,1.9525,2023-10-29 04:15:00
20231029,04:30,水电有功,177.2435,0.0,0.0,1.7311,2023-10-29 04:30:00
20231029,04:45,水电有功,176.2565,0.0,0.0,1.8612,2023-10-29 04:45:00
20231029,05:00,水电有功,176.1898,0.0,0.0,2.3033,2023-10-29 05:00:00
20231029,05:15,水电有功,176.6743,0.0,0.0,2.2379,2023-10-29 05:15:00
20231029,05:30,水电有功,176.613,0.0,0.0,-0.124,2023-10-29 05:30:00
20231029,05:45,水电有功,177.0366,0.0,0.0,-0.3457,2023-10-29 05:45:00
20231029,06:00,水电有功,176.8471,0.0,0.0,-0.5009,2023-10-29 06:00:00
20231029,06:15,水电有功,179.2928,0.0,0.0,2.0172,2023-10-29 06:15:00
20231029,06:30,水电有功,178.6933,0.0,0.0,1.2367,2023-10-29 06:30:00
20231029,06:45,水电有功,178.3416,0.0,0.0,1.7066,2023-10-29 06:45:00
20231029,07:00,水电有功,178.4001,0.0,0.0,1.3532,2023-10-29 07:00:00
20231029,07:15,水电有功,178.8351,0.0,0.0,2.0411,2023-10-29 07:15:00
20231029,07:30,水电有功,178.6067,0.0,0.0,1.5474,2023-10-29 07:30:00
20231029,07:45,水电有功,178.4734,0.0,0.0,1.4581,2023-10-29 07:45:00
20231029,08:00,水电有功,178.3391,0.0,0.0,-0.4129,2023-10-29 08:00:00
20231029,08:15,水电有功,178.796,0.0,0.0,-0.4852,2023-10-29 08:15:00
20231029,08:30,水电有功,178.5987,0.0,0.0,-0.3084,2023-10-29 08:30:00
20231029,08:45,水电有功,178.9717,0.0,0.0,1.8703,2023-10-29 08:45:00
20231029,09:00,水电有功,177.7806,0.0,0.0,2.3619,2023-10-29 09:00:00
20231029,09:15,水电有功,177.231,0.0,0.0,1.803,2023-10-29 09:15:00
20231029,09:30,水电有功,178.1463,0.0,0.0,1.8382,2023-10-29 09:30:00
20231029,09:45,水电有功,178.09,0.0,0.0,1.9288,2023-10-29 09:45:00
20231029,10:00,水电有功,177.6101,0.0,0.0,-0.3233,2023-10-29 10:00:00
20231029,10:15,水电有功,177.5095,0.0,0.0,2.0553,2023-10-29 10:15:00
20231029,10:30,水电有功,177.6895,0.0,0.0,-0.1997,2023-10-29 10:30:00
20231029,10:45,水电有功,177.6202,0.0,0.0,1.9294,2023-10-29 10:45:00
20231029,11:00,水电有功,177.7235,0.0,0.0,-0.5286,2023-10-29 11:00:00
20231029,11:15,水电有功,178.2119,0.0,0.0,1.7719,2023-10-29 11:15:00
20231029,11:30,水电有功,178.0949,0.0,0.0,1.8744,2023-10-29 11:30:00
20231029,11:45,水电有功,178.3719,0.0,0.0,1.9205,2023-10-29 11:45:00
20231029,12:00,水电有功,178.6603,0.0,0.0,2.2361,2023-10-29 12:00:00
20231029,12:15,水电有功,178.4338,0.0,0.0,1.4417,2023-10-29 12:15:00
20231029,12:30,水电有功,178.1698,0.0,0.0,1.9854,2023-10-29 12:30:00
20231029,12:45,水电有功,177.4993,0.0,0.0,1.5543,2023-10-29 12:45:00
20231029,13:00,水电有功,176.0313,0.0,0.0,-0.443,2023-10-29 13:00:00
20231029,13:15,水电有功,176.1675,0.0,0.0,2.2483,2023-10-29 13:15:00
20231029,13:30,水电有功,176.1477,0.0,0.0,2.0303,2023-10-29 13:30:00
20231029,13:45,水电有功,175.9677,0.0,0.0,1.8604,2023-10-29 13:45:00
20231029,14:00,水电有功,175.8997,0.0,0.0,0.0432,2023-10-29 14:00:00
20231029,14:15,水电有功,203.6149,0.0,0.0,2.9037,2023-10-29 14:15:00
20231029,14:30,水电有功,257.8313,0.0,0.0,1.9129,2023-10-29 14:30:00
20231029,14:45,水电有功,278.3271,0.0,0.0,2.0266,2023-10-29 14:45:00
20231029,15:00,水电有功,286.1504,0.0,0.0,1.5089,2023-10-29 15:00:00
20231029,15:15,水电有功,287.7616,0.0,0.0,1.3159,2023-10-29 15:15:00
20231029,15:30,水电有功,286.9704,0.0,0.0,0.5832,2023-10-29 15:30:00
20231029,15:45,水电有功,288.9146,0.0,0.0,1.7345,2023-10-29 15:45:00
20231029,16:00,水电有功,284.7631,0.0,0.0,0.5569,2023-10-29 16:00:00
20231029,16:15,水电有功,289.578,0.0,0.0,3.5076,2023-10-29 16:15:00
20231029,16:30,水电有功,402.9833,0.0,0.0,0.9442,2023-10-29 16:30:00
20231029,16:45,水电有功,402.8433,0.0,0.0,0.9835,2023-10-29 16:45:00
20231029,17:00,水电有功,403.0371,0.0,0.0,1.1833,2023-10-29 17:00:00
20231029,17:15,水电有功,363.1519,0.0,0.0,1.4396,2023-10-29 17:15:00
20231029,17:30,水电有功,361.7339,0.0,0.0,1.3718,2023-10-29 17:30:00
20231029,17:45,水电有功,360.968,0.0,0.0,1.0479,2023-10-29 17:45:00
20231029,18:00,水电有功,362.3769,0.0,0.0,1.535,2023-10-29 18:00:00
20231029,18:15,水电有功,361.5493,0.0,0.0,1.3053,2023-10-29 18:15:00
20231029,18:30,水电有功,361.6827,0.0,0.0,1.0575,2023-10-29 18:30:00
20231029,18:45,水电有功,362.8837,0.0,0.0,1.6679,2023-10-29 18:45:00
20231029,19:00,水电有功,352.8199,0.0,0.0,1.8196,2023-10-29 19:00:00
20231029,19:15,水电有功,348.9781,0.0,0.0,1.3802,2023-10-29 19:15:00
20231029,19:30,水电有功,349.4325,0.0,0.0,1.002,2023-10-29 19:30:00
20231029,19:45,水电有功,349.7542,0.0,0.0,1.1617,2023-10-29 19:45:00
20231029,20:00,水电有功,349.8284,0.0,0.0,2.0064,2023-10-29 20:00:00
20231029,20:15,水电有功,195.9752,0.0,0.0,0.8137,2023-10-29 20:15:00
