日期,时间,风力发电,光伏发电
20230922,14:42,2850.08,3112.71
20230922,15:30,2665.346,2068.721
20230922,15:45,2525.6987,1775.244
20230922,16:00,2394.619,1468.2559
20230922,16:15,2282.9324,1152.4854
20230922,16:30,2158.5088,840.3831
20230922,16:45,2083.4585,549.2887
20230922,17:00,2122.4492,310.0591
20230922,17:30,2265.9639,58.2782
20230922,18:15,2284.4485,24.2879
20230922,18:45,2279.249,20.9017
20230922,19:45,2300.143,0.0
20230922,20:00,2314.7856,0.0
20230922,20:15,2432.417,0.0
20230922,21:15,2854.9312,0.0
20230922,21:30,2951.284,0.0
20230922,21:45,3051.8738,0.0
20230922,22:00,3149.34,0.0
20230922,22:15,3161.108,0.0
20230922,23:30,3315.6897,0.0
20230923,00:15,3540.1619,0.0
20230923,00:30,3581.09,0.0
20230923,01:00,3738.9954,0.0
20230923,01:45,3862.3093,0.0
20230923,02:00,3873.981,0.0
20230923,03:15,4285.4727,0.0
20230923,03:30,4208.7427,0.0
20230923,04:00,4131.882,0.0
20230923,04:30,4018.1084,0.0
20230923,05:00,3740.4253,0.0
20230923,05:15,3680.0017,0.0
20230923,05:45,3540.5908,57.1637
20230923,06:15,3329.9214,416.1976
20230923,07:00,2666.677,1321.9459
20230923,07:30,2004.5927,1951.7211
20230923,08:45,1212.7568,3169.0186
20230923,09:00,1164.1755,3330.0847
20230923,09:15,1167.1215,3462.3943
20230923,09:30,1174.8021,3588.0337
20230923,10:00,1275.2944,3776.5454
20230923,10:15,1348.1814,3839.28
20230923,11:15,1848.1067,3948.76
20230923,11:45,2101.98,3868.3083
20230923,12:00,2236.7666,3887.623
20230923,13:00,2696.916,3476.9485
20230923,13:15,2733.729,3349.397
20230923,14:00,2737.327,3081.8157
20230923,14:15,2699.5317,2886.947
20230923,15:15,2632.997,2042.7378
20230923,15:30,2603.0,1819.9592
20230923,16:15,2746.914,882.9711
20230923,16:30,2814.759,456.4716
20230923,17:00,3277.1929,183.1274
20230923,17:15,3552.3662,108.2706
20230923,18:00,4356.7915,0.0
20230923,18:15,4567.436,0.0
20230923,19:30,5170.95,0.0
20230923,20:15,5233.918,0.0
20230923,20:30,5217.439,0.0
20230923,20:45,5193.5757,0.0
20230923,21:15,5122.9404,0.0
20230923,22:00,5004.2354,0.0
20230923,22:15,5001.3037,0.0
20230923,22:30,4907.0986,0.0
20230923,23:15,4619.1836,0.0
20230924,00:15,4303.3604,0.0
20230924,00:30,4343.3853,0.0
20230924,00:45,4252.214,0.0
20230924,01:00,4174.4536,0.0
20230924,01:15,4109.5415,0.0
20230924,01:45,4046.6213,0.0
20230924,02:00,3973.1274,0.0
20230924,02:15,3916.4165,0.0
