预测时的日期,日期,时间,风电预测,光伏预测,火电计划,水电计划,供电预测,,,
20230928,20230929,0:00,4216.16,0,1134,80,,,,
20230928,20230929,0:00,3027.88,0,1115,80,,,,
20230928,20230929,0:15,4156.39,0,1134,80,,,,
20230928,20230929,0:15,2980.12,0,1115,80,,,,
20230928,20230929,0:30,4080.38,0,1134,80,,,,
20230928,20230929,0:30,2932.25,0,1115,80,,,,
20230928,20230929,0:45,3996.3,0,1134,80,,,,
20230928,20230929,0:45,2884.68,0,1115,80,,,,
20230928,20230929,1:00,2837.89,0,1115,80,,,,
20230928,20230929,1:00,3912.49,0,1134,80,,,,
20230928,20230929,1:15,2791.65,0,1115,80,,,,
20230928,20230929,1:15,3834.86,0,1134,80,,,,
20230928,20230929,1:30,2745.51,0,1115,80,,,,
20230928,20230929,1:30,3761.36,0,1134,80,,,,
20230928,20230929,1:45,3687.28,0,1134,80,,,,
20230928,20230929,1:45,2699.31,0,1115,80,,,,
20230928,20230929,2:00,2652.9,0,1115,80,,,,
20230928,20230929,2:00,3608.3,0,1134,80,,,,
20230928,20230929,2:15,3521.64,0,1134,80,,,,
20230928,20230929,2:30,3430.59,0,1134,80,,,,
20230928,20230929,2:45,3340.2,0,1134,80,,,,
20230928,20230929,3:00,3255.33,0,1134,80,,,,
20230928,20230929,3:15,3179.93,0,1134,80,,,,
20230928,20230929,7:15,1876.2,491.2,1115,80,,,,
20230928,20230929,7:30,1731.23,568.87,1115,80,,,,
20230928,20230929,7:45,1614.52,656.18,1115,80,,,,
20230928,20230929,8:00,1568.38,752.66,1115,80,,,,
20230928,20230929,8:15,1564.12,830.9,1115,80,,,,
20230928,20230929,8:30,1917.21,915.16,1134,80,,,,
20230928,20230929,8:30,1554.67,863.34,1115,80,,,,
20230928,20230929,8:45,1958.53,888.89,1134,80,,,,
20230928,20230929,8:45,1555.62,861.05,1115,80,,,,
20230928,20230929,9:00,2014.82,889.15,1134,80,,,,
20230928,20230929,9:00,1581.76,857.05,1115,80,,,,
20230928,20230929,9:15,2069.03,882.52,1134,80,,,,
20230928,20230929,9:15,1615.09,856.57,1115,80,,,,
20230928,20230929,9:30,2125.38,917.67,1134,80,,,,
20230928,20230929,9:30,1641.3,865.02,1115,80,,,,
20230928,20230929,9:45,1681.88,893.85,1115,80,,,,
20230928,20230929,9:45,2195.19,972.41,1134,80,,,,
20230928,20230929,10:00,1758.28,932.19,1115,80,,,,
20230928,20230929,10:00,2289.67,1008.67,1134,80,,,,
20230928,20230929,10:15,1859.18,951.56,1115,80,,,,
20230928,20230929,10:15,2417.42,1023.25,1134,80,,,,
20230928,20230929,10:30,1959.16,923.55,1115,80,,,,
20230928,20230929,10:30,2567.68,970.92,1134,80,,,,
20230928,20230929,10:45,2060.66,846.08,1115,80,,,,
20230928,20230929,10:45,2727.72,918.3,1134,80,,,,
20230928,20230929,11:00,2885.97,833.66,1134,80,,,,
20230928,20230929,11:00,2165.89,757.65,1115,80,,,,
20230928,20230929,11:15,2284.88,691.05,1115,80,,,,
20230928,20230929,11:15,3032.11,752.75,1134,80,,,,
20230928,20230929,11:30,3161.78,689.27,1134,80,,,,
20230928,20230929,11:30,2411.34,678.85,1115,80,,,,
20230928,20230929,11:45,2522.87,714.56,1115,80,,,,
20230928,20230929,11:45,3272.98,705.11,1134,80,,,,
20230928,20230929,12:00,2597.25,756.78,1115,80,,,,
20230928,20230929,12:00,3363.78,727.99,1134,80,,,,
20230928,20230929,12:15,3432.22,752.09,1134,80,,,,
20230928,20230929,12:30,3477.33,728.23,1134,80,,,,
20230928,20230929,12:45,3498.09,713.58,1134,80,,,,
20230928,20230929,13:00,3493.44,698,1141,80,,,,
20230928,20230929,13:15,3461.93,685.27,1141,80,,,,
20230928,20230929,17:15,1355.21,21.87,1121,80,,,,
20230928,20230929,17:30,1374.86,0.05,1121,80,,,,
20230928,20230929,17:45,1384.63,0.01,1121,80,,,,
20230928,20230929,18:00,1367.18,0.01,1121,80,,,,
20230928,20230929,18:15,1332.12,0,1121,80,,,,
20230928,20230929,18:30,1296.58,0,1121,80,,,,
20230928,20230929,18:30,1775.08,0,1141,80,,,,
20230928,20230929,18:45,1264.9,0,1121,80,,,,
20230928,20230929,18:45,1739.55,0,1141,80,,,,
20230928,20230929,19:00,1692.05,0.01,1141,80,,,,
20230928,20230929,19:00,1230.3,0,1121,80,,,,
20230928,20230929,19:15,1627.73,0,1141,80,,,,
20230928,20230929,19:15,1201.74,0,1121,80,,,,
20230928,20230929,19:30,1553.82,0,1141,80,,,,
20230928,20230929,19:30,1174.23,0,1121,80,,,,
20230928,20230929,19:45,1144.78,0,1121,80,,,,
20230928,20230929,19:45,1480.35,0,1141,80,,,,
20230928,20230929,20:00,1417.54,0,1141,80,,,,
20230928,20230929,20:00,1110.59,0,1121,80,,,,
20230928,20230929,20:15,1375.19,0,1141,80,,,,
20230928,20230929,20:15,1064.99,0,1121,80,,,,
20230928,20230929,20:30,1349.73,0,1141,80,,,,
20230928,20230929,20:30,1016.2,0,1121,80,,,,
20230928,20230929,20:45,976.94,0,1121,80,,,,
20230928,20230929,20:45,1339.37,0,1141,80,,,,
20230928,20230929,21:00,1340.32,0,1141,80,,,,
20230928,20230929,21:00,960.67,0,1121,80,,,,
20230928,20230929,21:15,1354.52,0,1141,80,,,,
20230928,20230929,21:15,969.96,0,1121,80,,,,
20230928,20230929,21:30,979.65,0,1121,80,,,,
20230928,20230929,21:30,1376.51,0,1141,80,,,,
20230928,20230929,21:45,1403.61,0,1141,80,,,,
20230928,20230929,21:45,989.73,0,1121,80,,,,
20230928,20230929,22:00,999.73,0,1121,80,,,,
20230928,20230929,22:00,1433.22,0,1141,80,,,,
20230928,20230929,22:15,1464.88,0,1141,80,,,,
20230928,20230929,22:30,1499.52,0,1141,80,,,,
20230928,20230929,22:45,1539.77,0,1141,80,,,,
20230928,20230929,23:00,1587.35,0,1141,80,,,,
20230928,20230929,23:15,1644.12,0,1141,80,,,,
20230928,20230930,3:15,1579.93,0,1121,80,,,,
20230928,20230930,3:30,1605.6,0,1121,80,,,,
