日期,时间,供电类型,供电负荷值
20231011,09:45,供电有功,10198.823
20231011,10:00,供电有功,10281.3955
20231011,10:15,供电有功,10417.02
20231011,10:30,供电有功,10566.689
20231011,10:45,供电有功,10694.824
20231011,11:00,供电有功,10741.696
20231011,11:15,供电有功,10584.542
20231011,11:30,供电有功,10360.679
20231011,11:45,供电有功,10130.241
20231011,12:00,供电有功,9941.696
20231011,12:15,供电有功,9802.662
20231011,12:30,供电有功,9788.691
20231011,12:45,供电有功,9758.526
20231011,13:00,供电有功,9682.515
20231011,13:15,供电有功,9787.546
20231011,13:30,供电有功,9871.111
20231011,13:45,供电有功,9922.791
20231011,14:00,供电有功,9904.088
20231011,14:15,供电有功,10009.905
20231011,14:30,供电有功,9980.724
20231011,14:45,供电有功,10086.804
20231011,15:00,供电有功,10203.236
20231011,15:15,供电有功,10371.764
20231011,15:30,供电有功,10549.411
20231011,15:45,供电有功,10741.0
20231011,16:00,供电有功,10940.619
20231011,16:15,供电有功,11238.05
20231011,16:30,供电有功,11453.905
20231011,16:45,供电有功,11688.081
20231011,17:00,供电有功,11798.365
20231011,17:15,供电有功,11951.654
20231011,17:30,供电有功,12024.592
20231011,17:45,供电有功,11966.049
20231011,18:00,供电有功,11917.752
20231011,18:15,供电有功,11680.708
20231011,18:30,供电有功,11636.363
20231011,18:45,供电有功,11602.219
20231011,19:00,供电有功,11507.519
20231011,19:15,供电有功,11474.047
20231011,19:30,供电有功,11309.899
20231011,19:45,供电有功,11374.161
20231011,20:00,供电有功,11306.422
20231011,20:15,供电有功,11271.529
20231011,20:30,供电有功,11238.438
20231011,20:45,供电有功,11169.437
20231011,21:00,供电有功,10920.054
20231011,21:15,供电有功,10804.458
20231011,21:30,供电有功,10566.881
20231011,21:45,供电有功,10326.628
20231011,22:00,供电有功,10293.322
20231011,22:15,供电有功,10085.275
20231011,22:30,供电有功,9860.813
20231011,22:45,供电有功,9862.812
20231011,23:00,供电有功,9790.055
20231011,23:15,供电有功,9611.281
20231011,23:30,供电有功,9452.766
20231012,00:00,供电有功,9112.679
20231012,00:15,供电有功,9252.926
20231012,00:30,供电有功,9071.359
20231012,00:45,供电有功,8984.409
20231012,01:00,供电有功,8925.5625
20231012,01:15,供电有功,8866.728
20231012,01:30,供电有功,8885.188
20231012,01:45,供电有功,8765.751
20231012,02:00,供电有功,8790.62
20231012,02:15,供电有功,8721.749
20231012,02:30,供电有功,8663.444
20231012,02:45,供电有功,8687.756
20231012,03:00,供电有功,8714.304
20231012,03:15,供电有功,8727.78
20231012,03:30,供电有功,8721.825
20231012,03:45,供电有功,8749.753
20231012,04:00,供电有功,8788.468
20231012,04:15,供电有功,8837.175
20231012,04:30,供电有功,8969.816
20231012,04:45,供电有功,9089.203
20231012,05:00,供电有功,9235.766
20231012,05:15,供电有功,9548.835
20231012,05:30,供电有功,9865.995
20231012,05:45,供电有功,10250.115
20231012,06:00,供电有功,10752.126
20231012,06:15,供电有功,11087.626
20231012,06:30,供电有功,11305.412
20231012,06:45,供电有功,11223.577
20231012,07:00,供电有功,10988.665
20231012,07:15,供电有功,10881.706
20231012,07:30,供电有功,10834.184
