日期,时间,预测时的日期,间隔天数,风电预测,风力发电,光伏预测,光伏发电,供电预测,供电负荷值
2023-10-11,10:00,2023-10-10,1,800.59,923.1056,2712.15,3697.4404,,10281.3955
2023-10-11,10:00,2023-10-10,1,855.9,923.1056,2710.7,3697.4404,,10281.3955
2023-10-11,10:15,2023-10-10,1,840.58,1023.3283,2790.81,3713.2668,,10417.02
2023-10-11,10:15,2023-10-10,1,892.3,1023.3283,2788.33,3713.2668,,10417.02
2023-10-11,10:30,2023-10-10,1,881.21,1108.7458,2819.02,3810.4526,,10566.689
2023-10-11,10:30,2023-10-10,1,928.49,1108.7458,2815.8,3810.4526,,10566.689
2023-10-11,10:45,2023-10-10,1,965.23,1197.8524,2817.19,3892.4531,,10694.824
2023-10-11,10:45,2023-10-10,1,920.72,1197.8524,2821.23,3892.4531,,10694.824
2023-10-11,11:00,2023-10-10,1,1002.84,1305.517,2824.53,3918.7742,,10741.696
2023-10-11,11:00,2023-10-10,1,957.28,1305.517,2829.5,3918.7742,,10741.696
2023-10-11,11:15,2023-10-10,1,991.99,1449.7572,2825.53,3957.308,,10584.542
2023-10-11,11:15,2023-10-10,1,1042.67,1449.7572,2819.89,3957.308,,10584.542
2023-10-11,11:30,2023-10-10,1,1083,1597.3583,2785.21,3949.4722,,10360.679
2023-10-11,11:30,2023-10-10,1,1026.78,1597.3583,2790.98,3949.4722,,10360.679
2023-10-11,11:45,2023-10-10,1,1061.36,1752.784,2742.84,3862.412,,10130.241
2023-10-11,11:45,2023-10-10,1,1122.27,1752.784,2737.3,3862.412,,10130.241
2023-10-11,12:00,2023-10-10,1,1159.07,1946.4342,2694.68,3892.6167,,9941.696
2023-10-11,12:00,2023-10-10,1,1095.73,1946.4342,2699.9,3892.6167,,9941.696
2023-10-11,12:15,2023-10-10,1,1130.54,2019.8337,2646.5,3847.7004,,9802.662
2023-10-11,12:15,2023-10-10,1,1195.63,2019.8337,2641.57,3847.7004,,9802.662
2023-10-11,12:30,2023-10-10,1,1165.81,2016.9486,2567.04,3780.5583,,9788.691
2023-10-11,12:30,2023-10-10,1,1233.28,2016.9486,2562.28,3780.5583,,9788.691
2023-10-11,12:45,2023-10-10,1,1200.27,1996.9247,2465.62,3698.6553,,9758.526
2023-10-11,12:45,2023-10-10,1,1268.73,1996.9247,2460.95,3698.6553,,9758.526
2023-10-11,13:00,2023-10-10,1,1232.64,2038.6245,2361.88,3600.99,,9682.515
2023-10-11,13:00,2023-10-10,1,1298.91,2038.6245,2357.15,3600.99,,9682.515
2023-10-11,13:15,2023-10-10,1,1270.55,2072.5479,2262.92,3487.8428,,9787.546
2023-10-11,13:15,2023-10-10,1,1332.55,2072.5479,2258.28,3487.8428,,9787.546
2023-10-11,13:30,2023-10-10,1,1312.18,2092.6284,2175.94,3352.137,,9871.111
2023-10-11,13:30,2023-10-10,1,1370.97,2092.6284,2171.82,3352.137,,9871.111
2023-10-11,13:45,2023-10-10,1,1346.23,2147.9673,2116.58,3195.5132,,9922.791
