间隔天数,预测值,实际值
1,13861.0059,11739.1875
1,13967.9805,11879.1787
1,14068.7715,11979.6592
1,14173.3086,12094.9727
1,14200.4512,12056.6289
1,14225.9551,12028.0898
1,13935.7275,11898.7021
1,13755.1484,11753.2617
1,13575.0107,11621.8789
1,13476.3379,11563.1611
1,13546.0977,11540.0225
1,13481.3438,11531.3926
1,13412.9092,11536.9756
1,13503.9834,11672.8086
1,13495.3574,11576.3086
1,13534.5977,11634.877
1,13603.4883,11622.8682
1,13679.1709,11734.6934
1,13646.627,11759.4463
1,13708.6846,11808.2969
1,13784.4238,11941.0596
1,13935.9717,12158.8633
1,14153.0615,12231.7354
1,14333.8711,12417.6074
1,14663.1641,12729.6367
1,15114.2119,13161.623
1,15536.6924,13440.7617
1,15635.042,13587.2344
1,15509.2939,13457.8223
1,15314.6475,13317.0264
1,15141.8438,13088.1279
1,14858.3594,13004.8867
1,14609.6143,12771.1875
1,14480.7363,12511.877
1,14334.7852,12443.5566
1,14300.5215,12432.208
1,14060.9375,12330.8799
1,14051.6318,12236.2461
1,13992.0723,12206.9404
1,13913.3369,12111.7285
1,13762.6982,12024.0791
1,13728.7314,12153.0918
1,13604.2266,12078.9629
1,13690.1631,12268.3477
1,13497.874,12039.8203
1,13378.3555,11872.79
1,13184.5938,11743.4277
1,12923.2813,11466.3252
1,12701.9014,11231.8105
1,12616.1016,11050.5068
1,12521.5703,10844.8164
1,12269.9521,10836.2148
1,12052.9551,10676.6943
1,11874.8848,10524.9814
2,13727.2734,11753.8682
1,13727.2734,11753.8682
2,13804.002,11944.1416
1,13804.002,11944.1416
2,13961.333,11991.6006
1,13961.333,11991.6006
2,14004.1455,12132.3369
1,14004.1455,12132.3369
2,14078.8574,12146.2197
1,14078.8574,12146.2197
2,14027.3691,12126.6504
1,14027.3691,12126.6504
2,13882.0352,12035.9004
1,13882.0352,12035.9004
2,13695.6172,11968.0664
1,13695.6172,11968.0664
2,13559.8809,11851.6719
1,13559.8809,11851.6719
2,13507.25,11775.3691
1,13507.25,11775.3691
2,13459.8193,11682.7148
1,13459.8193,11682.7148
2,13483.793,11729.1533
1,13483.793,11729.1533
2,13459.0869,11682.6953
1,13459.0869,11682.6953
2,13546.125,11757.3789
1,13546.125,11757.3789
2,13578.8564,11801.459
1,13578.8564,11801.459
2,13628.4629,11790.4043
1,13628.4629,11790.4043
2,13653.2822,11787.9824
1,13653.2822,11787.9824
2,13784.8604,11883.2871
1,13784.8604,11883.2871
2,13831.751,11871.5137
1,13831.751,11871.5137
2,13871.7939,11924.501
1,13871.7939,11924.501
2,13925.0869,12004.0078
1,13925.0869,12004.0078
2,14000.0996,12045.5264
1,14000.0996,12045.5264
2,14201.2822,12221.4482
1,14201.2822,12221.4482
2,14480.6377,12381.4297
1,14480.6377,12381.4297
2,14844.3027,12721.9893
1,14844.3027,12721.9893
2,15255.0254,13076.7295
1,15255.0254,13076.7295
2,15521.2461,13423.2725
1,15521.2461,13423.2725
2,15581.5869,13538.708
1,15581.5869,13538.708
2,15443.3506,13346.333
1,15443.3506,13346.333
2,15232.582,13206.2549
1,15232.582,13206.2549
2,15093.585,12992.1367
1,15093.585,12992.1367
2,14793.0254,12810.25
1,14793.0254,12810.25
2,14634.9668,12658.5537
1,14634.9668,12658.5537
2,14555.2178,12519.0107
1,14555.2178,12519.0107
2,14512.6123,12503.0088
1,14512.6123,12503.0088
2,14481.2236,12335.5273
1,14481.2236,12335.5273
2,14260.2861,12287.2588
1,14260.2861,12287.2588
2,14262.4941,12260.8086
1,14262.4941,12260.8086
2,14122.9639,12152.6025
1,14122.9639,12152.6025
2,14088.0889,12110.9023
1,14088.0889,12110.9023
2,13975.5615,11988.9131
1,13975.5615,11988.9131
2,13942.3037,12046.6738
1,13942.3037,12046.6738
2,13883.7432,11935.8711
1,13883.7432,11935.8711
2,13994.7529,12098.1797
1,13994.7529,12098.1797
2,13769.5146,11949.6416
1,13769.5146,11949.6416
2,13573.1279,11781.2393
1,13573.1279,11781.2393
2,13374.6318,11623.7725
1,13374.6318,11623.7725
2,13151.0166,11449.7197
1,13151.0166,11449.7197
2,12851.2227,11151.1104
1,12851.2227,11151.1104
2,12656.4063,10940.082
1,12656.4063,10940.082
2,12404.3193,10705.3613
1,12404.3193,10705.3613
2,12359.6543,10669.2979
1,12359.6543,10669.2979
2,12178.3086,10432.7783
1,12178.3086,10432.7783
2,11976.0049,10275.3945
1,11976.0049,10275.3945
3,14410.01,11866.1787
2,14081.9492,11866.1787
1,14081.9492,11866.1787
3,14585.65,11922.376
2,14257.5918,11922.376
1,14257.5918,11922.376
3,14703.56,12096.7363
2,14375.4951,12096.7363
1,14375.4951,12096.7363
3,14757.11,12308.9043
2,14429.0537,12308.9043
1,14429.0537,12308.9043
3,14892.53,12319.8936
2,14564.4707,12319.8936
1,14564.4707,12319.8936
3,14862.99,12227.6729
2,14534.9277,12227.6729
1,14534.9277,12227.6729
3,14645.68,12131.7461
2,14317.623,12131.7461
1,14317.623,12131.7461
3,14487.81,12012.8311
2,14159.7549,12012.8311
1,14159.7549,12012.8311
3,14227.81,11897.0957
2,13899.75,11897.0957
1,13899.75,11897.0957
3,14122.1,11713.293
2,13794.043,11713.293
1,13794.043,11713.293
3,14055.07,11613.8779
2,13727.0127,11613.8779
1,13727.0127,11613.8779
3,14055.59,11593.9902
2,13727.5293,11593.9902
1,13727.5293,11593.9902
3,14013.95,11561.3711
2,13685.8857,11561.3711
1,13685.8857,11561.3711
3,14072.88,11593.8291
2,13744.8154,11593.8291
1,13744.8154,11593.8291
3,14185.24,11745.3516
2,13857.1768,11745.3516
1,13857.1768,11745.3516
3,14071.59,11661.5244
2,13743.5264,11661.5244
1,13743.5264,11661.5244
3,14109.93,11602.0127
2,13781.874,11602.0127
1,13781.874,11602.0127
3,14112.26,11629.7266
2,13784.1973,11629.7266
1,13784.1973,11629.7266
3,14158.29,11630.2383
2,13830.2295,11630.2383
1,13830.2295,11630.2383
3,14148.49,11783.6797
2,13820.4268,11783.6797
1,13820.4268,11783.6797
3,14201.81,11740.1172
2,13873.751,11740.1172
1,13873.751,11740.1172
3,14266.43,11827.0752
2,13938.3652,11827.0752
1,13938.3652,11827.0752
3,14387.04,11990.5527
2,14058.9814,11990.5527
1,14058.9814,11990.5527
3,14633.14,12077.4004
2,14305.084,12077.4004
1,14305.084,12077.4004
3,14882.43,12290.626
2,14554.373,12290.626
1,14554.373,12290.626
3,15314.03,12660.9678
2,14985.9678,12660.9678
1,14985.9678,12660.9678
3,15659.64,12926.584
2,15331.5771,12926.584
1,15331.5771,12926.584
3,15804.0,13002.3877
2,15475.9443,13002.3877
1,15475.9443,13002.3877
3,15718.64,12951.1943
2,15390.5791,12951.1943
1,15390.5791,12951.1943
3,15487.24,12740.7646
2,15159.1807,12740.7646
1,15159.1807,12740.7646
3,15291.7,12580.001
2,14963.6445,12580.001
1,14963.6445,12580.001
3,15118.12,12457.0313
2,14790.0557,12457.0313
1,14790.0557,12457.0313
3,14961.55,12276.6523
2,14633.4912,12276.6523
1,14633.4912,12276.6523
3,14858.66,12169.9531
2,14530.6025,12169.9531
1,14530.6025,12169.9531
3,14707.0,12077.3701
2,14378.9385,12077.3701
1,14378.9385,12077.3701
3,14556.59,12006.7773
2,14228.5322,12006.7773
1,14228.5322,12006.7773
3,14411.97,11859.7607
2,14083.9053,11859.7607
1,14083.9053,11859.7607
3,14397.64,11820.5371
2,14069.585,11820.5371
1,14069.585,11820.5371
3,14350.57,11700.3174
2,14022.5068,11700.3174
1,14022.5068,11700.3174
3,14280.04,11617.7002
2,13951.9844,11617.7002
1,13951.9844,11617.7002
3,14143.2,11474.9863
2,13815.1357,11474.9863
