间隔天数,预测值,实际值
1,2712.15,3697.4404
1,2710.7,3697.4404
1,2790.81,3713.2668
1,2788.33,3713.2668
1,2819.02,3810.4526
1,2815.8,3810.4526
1,2817.19,3892.4531
1,2821.23,3892.4531
1,2824.53,3918.7742
1,2829.5,3918.7742
1,2825.53,3957.308
1,2819.89,3957.308
1,2785.21,3949.4722
1,2790.98,3949.4722
1,2742.84,3862.412
1,2737.3,3862.412
1,2694.68,3892.6167
1,2699.9,3892.6167
1,2646.5,3847.7004
1,2641.57,3847.7004
1,2567.04,3780.5583
1,2562.28,3780.5583
1,2465.62,3698.6553
1,2460.95,3698.6553
1,2361.88,3600.99
1,2357.15,3600.99
1,2262.92,3487.8428
1,2258.28,3487.8428
1,2175.94,3352.137
1,2171.82,3352.137
1,2116.58,3195.5132
1,2113.16,3195.5132
1,2070.15,3015.5984
1,2067.25,3015.5984
1,1995.86,2803.6548
1,1997.98,2803.6548
1,1860.72,2576.1482
1,1861.54,2576.1482
1,1685.4,2332.7812
1,1686.59,2332.7812
1,1516.28,2053.123
1,1512.67,2053.123
1,1332.98,1767.5416
1,1338.43,1767.5416
1,1141.77,1476.2336
1,1136.21,1476.2336
1,915.19,1162.3074
1,920.53,1162.3074
1,691.66,846.5379
1,686.13,846.5379
1,473.17,550.6599
1,478.03,550.6599
1,302.31,288.0647
1,300.6,288.0647
1,120.52,77.7307
1,116.14,77.7307
1,6.6,9.9256
1,2.38,9.9256
1,0,3.318
1,0,3.318
1,0,0.4404
1,0,0.4404
1,0,2.0829
1,0,2.0829
1,0,0.0
1,0,0.0
1,0,0.0
1,0,0.0
1,0,0.0
1,0,0.0
1,0,0.0
1,0,0.0
1,0,0.0
1,0,0.0
1,0,0.0
1,0,0.0
1,0,0.0
1,0,0.0
1,0,0.0
1,0,0.0
1,0,0.0
1,0,0.0
1,0,0.0
1,0,0.0
1,0,0.0
1,0,0.0
1,0,0.0
1,0,0.0
1,0,0.0
1,0,0.0
1,0,0.0
1,0,0.0
1,0,0.0
1,0,0.0
1,0,0.0
1,0,0.0
1,0,0.0
1,0,0.0
1,0,0.0
1,0,0.0
1,0,0.0
1,0,0.0
1,0,0.0
1,0,0.0
1,0,0.0
1,0,0.0
1,0,0.0
1,0,0.0
2,2707.5,3644.9834
2,2705.93,3644.9834
1,2707.5,3644.9834
2,2786.04,3722.871
2,2784.39,3722.871
1,2786.04,3722.871
2,2814.01,3788.265
2,2812.81,3788.265
1,2814.01,3788.265
2,2815.36,3839.672
2,2815.62,3839.672
1,2815.62,3839.672
2,2823.23,3869.6272
2,2823.97,3869.6272
1,2823.23,3869.6272
2,2818.82,3876.051
2,2820.42,3876.051
1,2818.82,3876.051
2,2786.37,3872.0952
2,2784.31,3872.0952
1,2784.31,3872.0952
2,2738.68,3855.4458
2,2736.28,3855.4458
1,2736.28,3855.4458
2,2696.08,3841.5625
2,2693.26,3841.5625
1,2693.26,3841.5625
2,2640.17,3794.2214
2,2643.3,3794.2214
1,2640.17,3794.2214
2,2565,3722.8994
2,2561.87,3722.8994
1,2561.87,3722.8994
2,2462.51,3661.11
2,2470.71,3661.11
1,2462.51,3661.11
2,2377.81,3555.4277
2,2360.92,3555.4277
1,2360.92,3555.4277
2,2263.85,3438.4324
2,2282.24,3438.4324
1,2263.85,3438.4324
2,2180.21,3316.665
2,2177.95,3316.665
1,2177.95,3316.665
2,2119.08,3161.6196
2,2085.84,3161.6196
1,2119.08,3161.6196
2,2008.83,2976.9844
2,2073.04,2976.9844
1,2073.04,2976.9844
2,1938.85,2783.8433
2,2001.37,2783.8433
1,2001.37,2783.8433
2,1865.66,2554.143
2,1865.39,2554.143
1,1865.66,2554.143
2,1778,2315.2073
2,1691.49,2315.2073
1,1691.49,2315.2073
2,1521.66,2043.7292
2,1666.15,2043.7292
1,1521.66,2043.7292
2,1343.26,1764.3353
2,1519.59,1764.3353
1,1343.26,1764.3353
2,1143.35,1463.0931
2,1327.65,1463.0931
1,1143.35,1463.0931
2,1079.67,1151.2917
2,914.28,1151.2917
1,914.28,1151.2917
2,675.78,835.986
2,795.42,835.986
1,675.78,835.986
2,510.37,539.9775
2,456.06,539.9775
1,456.06,539.9775
2,283.48,278.5935
2,260.04,278.5935
1,283.48,278.5935
2,79.82,73.3367
2,108.9,73.3367
1,108.9,73.3367
2,5.18,2.253
2,2.24,2.253
1,2.24,2.253
2,0,0.0
2,0,0.0
1,0,0.0
2,0,0.0
2,0,0.0
1,0,0.0
2,0,0.0
2,0,0.0
1,0,0.0
2,0,0.0
2,0,0.0
1,0,0.0
2,0,0.0
2,0,0.0
1,0,0.0
2,0,0.0
2,0,0.0
1,0,0.0
2,0,0.0
2,0,0.0
1,0,0.0
2,0,0.0
2,0,0.0
1,0,0.0
2,0,0.0
2,0,0.0
1,0,0.0
2,0,0.0
2,0,0.0
1,0,0.0
2,0,0.0
2,0,0.0
1,0,0.0
2,0,0.0
2,0,0.0
1,0,0.0
2,0,0.0
2,0,0.0
1,0,0.0
2,0,0.0
2,0,0.0
1,0,0.0
2,0,0.0
2,0,0.0
1,0,0.0
2,0,0.0
2,0,0.0
1,0,0.0
2,0,0.0
2,0,0.0
1,0,0.0
2,0,0.0
2,0,0.0
1,0,0.0
2,0,0.0
2,0,0.0
1,0,0.0
2,0,0.0
2,0,0.0
1,0,0.0
2,0,0.0
2,0,0.0
1,0,0.0
2,0,0.0
2,0,0.0
1,0,0.0
2,0,0.0
2,0,0.0
1,0,0.0
2,0,0.0
2,0,0.0
1,0,0.0
2,0,0.0
2,0,0.0
1,0,0.0
2,0,0.0
2,0,0.0
1,0,0.0
3,2723.5,3405.2114
3,2704.07,3405.2114
2,2723.5,3405.2114
1,2711.25,3405.2114
3,2783.25,3529.8398
3,2802.32,3529.8398
2,2802.32,3529.8398
1,2789.76,3529.8398
3,2811.84,3608.3574
3,2830.73,3608.3574
2,2830.73,3608.3574
1,2817.77,3608.3574
3,2833.18,3675.2761
3,2813.85,3675.2761
2,2833.18,3675.2761
1,2819.68,3675.2761
3,2821.9,3711.574
3,2841.73,3711.574
2,2841.73,3711.574
1,2827.7,3711.574
3,2818,3724.4543
3,2837.96,3724.4543
2,2837.96,3724.4543
1,2823.49,3724.4543
3,2803.45,3714.7378
3,2784.34,3714.7378
2,2803.45,3714.7378
1,2788.62,3714.7378
3,2755.14,3713.7524
3,2737.47,3713.7524
2,2755.14,3713.7524
1,2740.9,3713.7524
3,2712.1,3677.1873
3,2695.74,3677.1873
2,2712.1,3677.1873
1,2698.92,3677.1873
3,2643.82,3620.4731
3,2658.58,3620.4731
2,2658.58,3620.4731
1,2645.45,3620.4731
3,2566.41,3551.8318
3,2579.13,3551.8318
2,2579.13,3551.8318
1,2563.35,3551.8318
3,2484.11,3448.7217
3,2468.17,3448.7217
2,2484.11,3448.7217
1,2456.86,3448.7217
3,2367.85,3356.2378
3,2390.75,3356.2378
2,2390.75,3356.2378
1,2347.49,3356.2378
3,2294.03,3213.5183
3,2271.65,3213.5183
2,2294.03,3213.5183
1,2243.83,3213.5183
3,2185.65,3038.3591
3,2188.76,3038.3591
2,2188.76,3038.3591
1,2154.6,3038.3591
3,2125.9,2904.71
3,2088.88,2904.71
2,2088.88,2904.71
1,2093.62,2904.71
3,2078.84,2686.6528
3,2005.29,2686.6528
2,2005.29,2686.6528
1,2044.8,2686.6528
3,1928.21,2491.3281
3,2006.39,2491.3281
2,1928.21,2491.3281
1,1971.75,2491.3281
3,1874.5,2294.9404
3,1847.85,2294.9404
2,1847.85,2294.9404
1,1838.05,2294.9404
3,1752.69,2028.9841
3,1754.43,2028.9841
2,1754.43,2028.9841
1,1669.89,2028.9841
3,1645.61,1783.2615
3,1638.35,1783.2615
2,1638.35,1783.2615
1,1506.94,1783.2615
3,1503.64,1505.3868
3,1489.7,1505.3868
2,1489.7,1505.3868
1,1333.5,1505.3868
3,1314.23,1223.4114
3,1298.76,1223.4114
2,1298.76,1223.4114
1,1133.87,1223.4114
3,1053.65,942.309
3,1067.87,942.309
2,1053.65,942.309
1,899.57,942.309
3,772.62,668.3005
3,786.2,668.3005
2,772.62,668.3005
1,654.34,668.3005
3,520.31,414.0422
3,491.32,414.0422
2,491.32,414.0422
1,430.93,414.0422
3,245.35,205.594
3,332.7,205.594
2,245.35,205.594
1,261.9,205.594
3,132.78,54.9811
3,70.34,54.9811
2,70.34,54.9811
1,98.22,54.9811
3,1.79,1.8688
3,7.08,1.8688
2,1.79,1.8688
1,0,1.8688
3,0,0.0
3,0,0.0
2,0,0.0
1,0,0.0
3,0,0.0
3,0,0.0
2,0,0.0
1,0,0.0
3,0,0.0
3,0,0.0
2,0,0.0
1,0,0.0
3,0,0.0
3,0,0.0
2,0,0.0
1,0,0.0
3,0,0.0
3,0,0.0
2,0,0.0
1,0,0.0
3,0,0.0
3,0,0.0
2,0,0.0
1,0,0.0
3,0,0.0
3,0,0.0
2,0,0.0
1,0,0.0
3,0,0.0
3,0,0.0
2,0,0.0
1,0,0.0
3,0,0.0
3,0,0.0
2,0,0.0
1,0,0.0
3,0,0.0
3,0,0.0
2,0,0.0
1,0,0.0
3,0,0.0
3,0,0.0
2,0,0.0
1,0,0.0
3,0,0.0
3,0,0.0
2,0,0.0
1,0,0.0
3,0,0.0
3,0,0.0
2,0,0.0
1,0,0.0
3,0,0.0
3,0,0.0
2,0,0.0
1,0,0.0
3,0,0.0
3,0,0.0
2,0,0.0
1,0,0.0
3,0,0.0
3,0,0.0
2,0,0.0
1,0,0.0
3,0,0.0
3,0,0.0
2,0,0.0
1,0,0.0
3,0,0.0
3,0,0.0
2,0,0.0
1,0,0.0
3,0,0.0
3,0,0.0
2,0,0.0
1,0,0.0
3,0,0.0
3,0,0.0
2,0,0.0
1,0,0.0
3,0,0.0
3,0,0.0
2,0,0.0
1,0,0.0
3,0,0.0
3,0,0.0
2,0,0.0
1,0,0.0
3,0,0.0
3,0,0.0
2,0,0.0
1,0,0.0
3,0,0.0
3,0,0.0
2,0,0.0
1,0,0.0
3,0,0.0
3,0,0.0
2,0,0.0
1,0,0.0
4,2746.53,3677.0557
4,2762.7,3677.0557
3,2746.53,3677.0557
2,2752.33,3677.0557
1,2716.59,3677.0557
4,2843.61,3774.7734
4,2825.87,3774.7734
3,2825.87,3774.7734
2,2832.14,3774.7734
1,2795.85,3774.7734
4,2854.63,3851.819
4,2872.75,3851.819
3,2854.63,3851.819
2,2860.73,3851.819
1,2824.89,3851.819
4,2857.3,3899.409
4,2874.89,3899.409
3,2857.3,3899.409
2,2863.14,3899.409
1,2828.16,3899.409
4,2866.14,3934.7996
4,2883.1,3934.7996
3,2866.14,3934.7996
2,2872.04,3934.7996
1,2837.59,3934.7996
4,2862.55,3948.546
4,2879.12,3948.546
3,2862.55,3948.546
2,2867.92,3948.546
1,2834.63,3948.546
4,2844.69,3956.4023
4,2827.74,3956.4023
3,2827.74,3956.4023
2,2831.36,3956.4023
1,2800.43,3956.4023
4,2778.75,3958.3105
4,2796.81,3958.3105
3,2778.75,3958.3105
2,2779.25,3958.3105
1,2752.11,3958.3105
4,2734.98,3935.8506
4,2754.16,3935.8506
3,2734.98,3935.8506
2,2732.04,3935.8506
1,2708.87,3935.8506
4,2701.09,3813.906
4,2680.96,3813.906
3,2680.96,3813.906
2,2675.17,3813.906
1,2655.49,3813.906
4,2622.07,3678.8425
4,2600.92,3678.8425
3,2600.92,3678.8425
2,2594.1,3678.8425
1,2576.48,3678.8425
4,2504.74,3606.2585
4,2521.67,3606.2585
3,2504.74,3606.2585
2,2500.89,3606.2585
1,2476.27,3606.2585
4,2419.2,3527.273
4,2411.04,3527.273
3,2411.04,3527.273
2,2410.8,3527.273
1,2373.87,3527.273
4,2314.21,3412.4238
4,2320.85,3412.4238
3,2314.21,3412.4238
2,2314.49,3412.4238
1,2275.85,3412.4238
4,2233.01,3328.7046
4,2209.87,3328.7046
3,2209.87,3328.7046
2,2202.44,3328.7046
1,2189.21,3328.7046
4,2171.92,3200.671
4,2137.07,3200.671
3,2137.07,3200.671
2,2088.15,3200.671
1,2129.62,3200.671
4,2090.74,2995.0889
4,2123.82,2995.0889
3,2090.74,2995.0889
2,1986.42,2995.0889
1,2082.82,2995.0889
4,2020.46,2800.7466
4,2049.78,2800.7466
3,2020.46,2800.7466
2,1889.75,2800.7466
1,2010.45,2800.7466
4,1915.04,2565.104
4,1908.62,2565.104
3,1908.62,2565.104
2,1790.48,2565.104
1,1874.1,2565.104
4,1790.61,2316.9504
4,1811.8,2316.9504
3,1811.8,2316.9504
2,1681.26,2316.9504
1,1701.96,2316.9504
4,1697.24,2047.4066
4,1681.27,2047.4066
3,1697.24,2047.4066
2,1554.46,2047.4066
1,1535.8,2047.4066
4,1547.06,1703.3765
4,1536.24,1703.3765
3,1547.06,1703.3765
2,1402.69,1703.3765
1,1357.67,1703.3765
4,1348.55,1442.7441
4,1342.76,1442.7441
3,1348.55,1442.7441
2,1218.36,1442.7441
1,1149.58,1442.7441
4,1090.37,1098.0684
4,1091.07,1098.0684
3,1090.37,1098.0684
2,987.13,1098.0684
1,899.47,1098.0684
4,803.28,744.0901
4,794.97,744.0901
3,794.97,744.0901
2,722.02,744.0901
1,635.27,744.0901
4,531.47,455.505
4,504.18,455.505
3,504.18,455.505
2,456.89,455.505
1,399.14,455.505
4,305.42,198.9117
4,339.92,198.9117
3,305.42,198.9117
2,225.62,198.9117
1,233.33,198.9117
4,135.61,34.1865
4,117.06,34.1865
3,117.06,34.1865
2,62.02,34.1865
1,87.45,34.1865
4,7.2,0.0
4,2.37,0.0
3,2.37,0.0
2,0,0.0
1,0,0.0
4,0,0.0
4,0,0.0
3,0,0.0
2,0,0.0
1,0,0.0
4,0,0.0
4,0,0.0
3,0,0.0
2,0,0.0
1,0,0.0
4,0,0.0
4,0,0.0
3,0,0.0
2,0,0.0
1,0,0.0
4,0,0.0
4,0,0.0
3,0,0.0
2,0,0.0
1,0,0.0
4,0,0.0
4,0,0.0
3,0,0.0
2,0,0.0
1,0,0.0
4,0,0.0
4,0,0.0
3,0,0.0
2,0,0.0
1,0,0.0
4,0,0.0
4,0,0.0
3,0,0.0
2,0,0.0
1,0,0.0
4,0,0.0
4,0,0.0
3,0,0.0
2,0,0.0
1,0,0.0
4,0,0.0
4,0,0.0
3,0,0.0
2,0,0.0
1,0,0.0
4,0,0.0
4,0,0.0
3,0,0.0
2,0,0.0
1,0,0.0
4,0,0.0
4,0,0.0
3,0,0.0
2,0,0.0
1,0,0.0
4,0,0.0
4,0,0.0
3,0,0.0
2,0,0.0
1,0,0.0
4,0,0.0
4,0,0.0
3,0,0.0
2,0,0.0
1,0,0.0
4,0,0.0
4,0,0.0
3,0,0.0
2,0,0.0
1,0,0.0
4,0,0.0
4,0,0.0
3,0,0.0
2,0,0.0
1,0,0.0
4,0,0.0
4,0,0.0
3,0,0.0
2,0,0.0
1,0,0.0
4,0,0.0
4,0,0.0
3,0,0.0
2,0,0.0
1,0,0.0
4,0,0.0
4,0,0.0
3,0,0.0
2,0,0.0
1,0,0.0
4,0,0.0
4,0,0.0
3,0,0.0
2,0,0.0
1,0,0.0
4,0,0.0
4,0,0.0
3,0,0.0
2,0,0.0
1,0,0.0
4,0,0.0
4,0,0.0
3,0,0.0
2,0,0.0
1,0,0.0
4,0,0.0
4,0,0.0
3,0,0.0
2,0,0.0
1,0,0.0
4,0,0.0
4,0,0.0
3,0,0.0
2,0,0.0
1,0,0.0
4,0,0.0
4,0,0.0
3,0,0.0
2,0,0.0
1,0,0.0
4,0,0.0
4,0,0.0
3,0,0.0
2,0,0.0
