间隔天数,预测值,实际值
1,800.59,923.1056
1,855.9,923.1056
1,840.58,1023.3283
1,892.3,1023.3283
1,881.21,1108.7458
1,928.49,1108.7458
1,965.23,1197.8524
1,920.72,1197.8524
1,1002.84,1305.517
1,957.28,1305.517
1,991.99,1449.7572
1,1042.67,1449.7572
1,1083.0,1597.3583
1,1026.78,1597.3583
1,1061.36,1752.784
1,1122.27,1752.784
1,1159.07,1946.4342
1,1095.73,1946.4342
1,1130.54,2019.8337
1,1195.63,2019.8337
1,1165.81,2016.9486
1,1233.28,2016.9486
1,1200.27,1996.9247
1,1268.73,1996.9247
1,1232.64,2038.6245
1,1298.91,2038.6245
1,1270.55,2072.5479
1,1332.55,2072.5479
1,1312.18,2092.6284
1,1370.97,2092.6284
1,1346.23,2147.9673
1,1399.81,2147.9673
1,1361.09,2144.5789
1,1404.72,2144.5789
1,1383.67,2114.2476
1,1353.98,2114.2476
1,1356.38,2138.1345
1,1341.6,2138.1345
1,1340.26,2124.8528
1,1341.59,2124.8528
1,1357.22,2039.9182
1,1366.59,2039.9182
1,1399.62,1959.8591
1,1381.09,1959.8591
1,1395.88,1843.5774
1,1423.31,1843.5774
1,1465.71,1842.5558
1,1429.04,1842.5558
1,1506.75,1832.4711
1,1555.13,1832.4711
1,1692.63,1832.6711
1,1624.91,1832.6711
1,1748.61,1915.8845
1,1840.05,1915.8845
1,1967.57,1924.6038
1,1861.36,1924.6038
1,2045.58,1959.4019
1,1946.37,1959.4019
1,2094.04,2020.1239
1,2023.02,2020.1239
1,2146.0,2134.9634
1,2106.82,2134.9634
1,2176.32,2260.6428
1,2190.98,2260.6428
1,2218.57,2305.5908
1,2210.1,2305.5908
1,2226.38,2346.4175
1,2236.64,2346.4175
1,2247.77,2413.2708
1,2256.34,2413.2708
1,2272.69,2403.256
1,2259.06,2403.256
1,2280.27,2395.6711
1,2244.76,2395.6711
1,2288.46,2366.7002
1,2211.14,2366.7002
1,2300.8,2331.1362
1,2176.37,2331.1362
1,2143.83,2344.6108
1,2304.82,2344.6108
1,2116.7,2342.7473
1,2287.58,2342.7473
1,2253.27,2350.335
1,2091.14,2350.335
1,2064.02,2454.2664
1,2217.33,2454.2664
1,2039.97,2557.7979
1,2184.57,2557.7979
1,2159.67,2657.8738
1,2023.43,2657.8738
1,2012.98,2749.6074
1,2140.66,2749.6074
1,2002.48,2771.0107
1,2121.96,2771.0107
1,1992.12,2814.157
1,2102.68,2814.157
1,2082.11,2933.5974
1,1982.13,2933.5974
1,1973.88,3033.0283
1,2059.19,3033.0283
1,1966.27,3152.4727
1,2035.21,3152.4727
1,1957.31,3246.1829
1,2013.51,3246.1829
1,1996.31,3323.153
1,1944.79,3323.153
1,1930.19,3402.644
1,1980.47,3402.644
2,1442.42,2135.603
2,1587.92,2135.603
1,1442.42,2135.603
2,1482.69,2229.3474
2,1624.11,2229.3474
1,1482.69,2229.3474
2,1522.69,2284.5208
2,1659.69,2284.5208
1,1522.69,2284.5208
2,1696.46,2450.8406
2,1563.24,2450.8406
1,1563.24,2450.8406
2,1605.84,2581.2651
2,1735.83,2581.2651
1,1605.84,2581.2651
2,1653.48,2719.0142
2,1780.02,2719.0142
1,1653.48,2719.0142
2,1825.96,2926.5605
2,1702.38,2926.5605
1,1702.38,2926.5605
2,1868.3,3105.1938
2,1748.77,3105.1938
1,1748.77,3105.1938
2,1901.4,3205.4412
2,1788.74,3205.4412
1,1788.74,3205.4412
2,1826.27,3303.6956
2,1930.14,3303.6956
1,1826.27,3303.6956
2,1959.8,3403.761
2,1864.72,3403.761
1,1864.72,3403.761
2,1901.3,3493.4033
2,1987.55,3493.4033
1,1901.3,3493.4033
2,2010.5,3645.3643
2,1933.01,3645.3643
1,1933.01,3645.3643
2,1966.2,3696.364
2,2021.83,3696.364
1,1966.2,3696.364
2,2027.64,3789.5488
2,2002.41,3789.5488
1,2002.41,3789.5488
2,2032.48,3805.0413
2,2044.63,3805.0413
1,2032.48,3805.0413
2,2089.64,3768.75
2,2047.19,3768.75
1,2047.19,3768.75
2,2156.64,3829.9763
2,2041.81,3829.9763
1,2041.81,3829.9763
2,2030.16,3840.4915
2,2226.86,3840.4915
1,2030.16,3840.4915
2,2299.03,3814.1392
2,2031.1,3814.1392
1,2031.1,3814.1392
2,2063.92,3750.1848
2,2372.3,3750.1848
1,2063.92,3750.1848
2,2106.44,3707.3022
2,2445.58,3707.3022
1,2106.44,3707.3022
2,2140.81,3627.9636
2,2517.74,3627.9636
1,2140.81,3627.9636
2,2587.96,3518.0085
2,2191.71,3518.0085
1,2191.71,3518.0085
2,2284.16,3448.241
2,2654.95,3448.241
1,2284.16,3448.241
2,2717.88,3417.8298
2,2418.24,3417.8298
1,2418.24,3417.8298
2,2560.19,3511.0718
2,2775.61,3511.0718
1,2560.19,3511.0718
2,2827.15,3699.2683
2,2686.42,3699.2683
1,2686.42,3699.2683
2,2871.32,3925.807
2,2773.54,3925.807
1,2773.54,3925.807
2,2914.08,4167.0854
2,2841.4,4167.0854
1,2841.4,4167.0854
2,2960.99,4343.9883
2,2913.91,4343.9883
1,2913.91,4343.9883
2,2977.29,4547.849
2,3010.63,4547.849
1,2977.29,4547.849
2,3061.56,4693.373
2,3018.09,4693.373
1,3018.09,4693.373
2,3112.54,4748.528
2,3043.07,4748.528
1,3043.07,4748.528
2,3162.19,4868.143
2,3067.88,4868.143
1,3067.88,4868.143
2,3209.09,4960.051
2,3092.88,4960.051
1,3092.88,4960.051
2,3117.98,5057.498
2,3251.81,5057.498
1,3117.98,5057.498
2,3289.15,5159.1826
2,3145.9,5159.1826
1,3145.9,5159.1826
2,3319.6,5259.792
2,3175.36,5259.792
1,3175.36,5259.792
2,3201.58,5305.1235
2,3341.82,5305.1235
1,3201.58,5305.1235
2,3219.66,5328.3735
2,3354.47,5328.3735
1,3219.66,5328.3735
2,3364.1,5369.553
2,3232.82,5369.553
1,3232.82,5369.553
2,3246.44,5411.1655
2,3377.44,5411.1655
1,3246.44,5411.1655
2,3259.13,5475.288
2,3393.08,5475.288
1,3259.13,5475.288
2,3410.07,5576.36
2,3269.25,5576.36
1,3269.25,5576.36
2,3426.98,5676.6196
2,3276.96,5676.6196
1,3276.96,5676.6196
2,3442.63,5697.4634
2,3284.15,5697.4634
1,3284.15,5697.4634
2,3455.94,5745.814
2,3292.31,5745.814
1,3292.31,5745.814
2,3465.61,5760.5493
2,3302.82,5760.5493
1,3302.82,5760.5493
2,3318.57,5765.0005
2,3470.39,5765.0005
1,3318.57,5765.0005
2,3336.52,5763.9937
2,3469.16,5763.9937
1,3336.52,5763.9937
2,3349.89,5673.2246
2,3460.55,5673.2246
1,3349.89,5673.2246
2,3351.69,5655.829
2,3443.52,5655.829
1,3351.69,5655.829
2,3347.84,5595.358
2,3421.64,5595.358
1,3347.84,5595.358
2,3345.64,5628.911
2,3399.51,5628.911
1,3345.64,5628.911
3,2070.38,2701.5127
3,2432.75,2701.5127
2,2070.38,2701.5127
1,2045.67,2701.5127
3,2428.14,2750.6099
3,2126.91,2750.6099
2,2126.91,2750.6099
1,2099.47,2750.6099
3,2437.77,2877.836
3,2182.81,2877.836
2,2182.81,2877.836
1,2151.93,2877.836
3,2240.1,3000.0344
3,2464.22,3000.0344
2,2240.1,3000.0344
1,2206.98,3000.0344
3,2510.87,3148.5317
3,2301.18,3148.5317
2,2301.18,3148.5317
1,2268.55,3148.5317
3,2570.89,3263.7493
3,2368.85,3263.7493
2,2368.85,3263.7493
1,2341.5,3263.7493
3,2439.06,3419.23
3,2634.3,3419.23
2,2439.06,3419.23
1,2418.9,3419.23
3,2504.22,3507.5684
3,2700.05,3507.5684
2,2504.22,3507.5684
1,2487.25,3507.5684
3,2556.72,3547.503
3,2767.04,3547.503
2,2556.72,3547.503
1,2533.47,3547.503
3,2834.14,3578.171
3,2604.6,3578.171
2,2604.6,3578.171
1,2569.08,3578.171
3,2900.05,3570.0908
3,2655.28,3570.0908
2,2655.28,3570.0908
1,2607.76,3570.0908
3,2700.38,3625.4404
3,2963.53,3625.4404
2,2700.38,3625.4404
1,2640.15,3625.4404
3,3023.59,3575.7915
3,2731.71,3575.7915
2,2731.71,3575.7915
1,2656.51,3575.7915
3,2752.48,3614.3557
3,3078.92,3614.3557
2,2752.48,3614.3557
1,2673.36,3614.3557
3,3128.41,3617.1858
3,2773.66,3617.1858
2,2773.66,3617.1858
1,2698.14,3617.1858
3,3171.02,3585.3188
3,2795.43,3585.3188
2,2795.43,3585.3188
1,2707.18,3585.3188
3,3206.17,3511.5076
3,2818.85,3511.5076
2,2818.85,3511.5076
1,2677.38,3511.5076
3,2845.66,3484.0864
3,3235.25,3484.0864
2,2845.66,3484.0864
1,2614.51,3484.0864
